userName,score,content,at
Engkoy Rokayah,1,"hari ini tanggal 30 Juni 2025 saya mengajukan pinjaman diaplikasi adakami,limit saya mencapai 1jt dan langsung saya ajukan pinjaman,pinjaman saya disetujui, langsung tanda tangan elektronik,tetapi setelah saya tanda tangan elektronik, status pinjaman malah ditolak dengan alasan kredit score kurang,oleh karna itu,jika ada orang menagih dengan bersangkutan Kepada saya,saya tidak akan pernah membayarnya karna saya tidak menerima uangnya sepeser pun. dan di hari ini juga saya hpus data dan aplikasi.",2025-07-30 11:47:56
Adam Jebat,5,baik,2025-07-30 11:30:08
Adi Wardana,5,sangat membantu,2025-07-30 11:19:44
Thomas Menna,5,Proses cepat makasih bmayak sdah memberikan bantuan pinjaman,2025-07-30 11:08:10
Lala N H,1,sagat menganggu kebayakan iklan,2025-07-30 11:02:09
Diki Wahyudi,4,"berulang kali di tolak, tapi coba lagi di acc",2025-07-30 10:57:49
Ragil sri Wancono,1,Bunga besar,2025-07-30 10:34:22
Delvi Silaen,1,"anjir banget jangan pernah download aplikasi ini, bikin emosi aja ngiklan dimana2 capek saya skip apalagi org lg nonton drama aplikasi ini muncul melululu bikin emosi",2025-07-30 10:24:23
Widi Aja,5,mundah dan mantap,2025-07-30 10:18:18
Buday 031,5,terimakasih,2025-07-30 10:15:54
dengan kita,1,jangan di pakai pelanyanan tidak ramah,2025-07-30 10:07:06
Imron Efendi,1,saya gak ada pinjaman ko di tagih,2025-07-30 10:05:58
Wawan Harianto,5,mantap sngat luar biasa,2025-07-30 09:57:53
Bosih Cibitung,1,hoak aplikasi ga guna jangan mau download cuma mau curi data doang,2025-07-30 09:55:52
Hendri Pratama,5,mntap,2025-07-30 09:20:13
Ubes Bersahaja,5,bagus dan sangat membantu sekali,2025-07-30 09:06:10
Suer Koprai,5,sangat cepat aksrsnya,2025-07-30 09:06:02
mukhlasin icha,5,ya ok lah,2025-07-30 08:53:15
Stefan Alford,5,"Aplikasi AdaKami benar-benar membantu dalam situasi darurat keuangan. Proses pendaftarannya sangat mudah dan cepat, bahkan verifikasi hanya memakan waktu singkat. Antarmukanya juga user-friendly, jadi gampang digunakan oleh siapa pun, bahkan bagi pengguna baru.",2025-07-30 08:44:42
Siti Fatimah,1,Jagan pernah download aplikasi ini,2025-07-30 08:32:33
Rozi Irawan,5,baik,2025-07-30 08:30:23
Rista Dhae,5,baik,2025-07-30 08:27:41
aldi Yanssah03,1,apk buruk,2025-07-30 08:26:34
Avivah Nurfitriyani,2,"kok ga sesuai ya, pas sebelum dicairkan tertera yang harus di bayar sebesar 166rb, tapi pas sudah dicairkan kenapa yang harus dibayar sebesar 260rb? sangat mengecewakan sekali bunganya terlalu besar",2025-07-30 08:24:15
moh ilham,5,sangat cepat dan dipercaya,2025-07-30 08:12:15
Marty Letsoin,5,Mantap..... 👍👍👍👍👍,2025-07-30 08:10:56
Ahmad W (?),1,"aplikasi pencuri data saja,,saya di tolak pinjem setelah susah susah pinjem 200 ,awas aja kalau disalah gunakan data saya atau ada penagihan itu bukan saya...saya udah screenshoot dan sbg.",2025-07-30 08:04:56
Rina Setiawati,5,alhmdulilah proses cepat dan tidak ada potongan admin,2025-07-30 08:00:18
Murni Srikandi,5,semoga bisa membantu yg membutuhkan,2025-07-30 07:43:14
Putriyani Yani,1,gimana sih ini aplikasi saya udah ngajuin 3x tapi tetep gagal padahal buat modal usaha kalo liat iklan nya kaya nya gampang banget tapi pas udah daftar di tolak terus gimana ini,2025-07-30 07:30:34
Cahya Rihansyah,5,good,2025-07-30 07:20:06
S h s Saja,1,aplikasi php,2025-07-30 05:50:15
Aldi Ganteng,5,good,2025-07-30 05:37:46
Mukhlis Barlian,3,"jatuh tempo per tanggal 30, saya bayar tepat waktu tp udah kena denda, aplikasi rentenir",2025-07-30 05:16:16
Alfa Rizi,5,aplikasi pinjam uang,2025-07-30 04:56:45
Muhamad Yahya,5,Mantap,2025-07-30 04:42:10
Fuji Maru,1,ko kredit nya ga cukup padahal pertama kali loh jangan sampai ada keslah gunakan informasi saya . saya udah Hapus aplikasinya,2025-07-30 04:36:24
fikri khair islami,1,BODOH BODOH,2025-07-30 03:35:12
Ramdan Sidik Sidik,5,"Adapundi sangat membantu saya saat membutuhkan dana tambahan untuk keperluan mendesak. Proses pengajuan pinjaman sangat sederhana dan tidak memakan waktu lama.Semua informasi mengenai bunga,tenor,dan biaya lainnya disampaikan dengan jelas di aplikasi sehingga saya bisa mengatur pembayaran dengan baik.Customer service Adapundi juga sangat responsif dan siap membantu kapan saja. Saya sangat merekomendasikan aplikasi ini kepada siapa saja yang membutuhkan pinjaman online yang cepat dan terpercaya.",2025-07-30 03:06:29
ope keroncong,5,dana rupiah paling mantap pinjam cepat dan bunga sangat ringan untuk mahasiswa di tanggal tua,2025-07-30 02:39:10
ara zhr,5,sangat membantu dan cepat cair nya god job adakami,2025-07-30 01:30:50
fajar ramaserang,5,dana rupiah paling aman dan cepat dalam proses pengajuan di aplikasi bunga dana rupiahnya rendah,2025-07-30 01:27:22
Muhammad Khairi,5,terbaik,2025-07-30 01:25:23
Taek 77,5,icash oke,2025-07-30 01:17:55
Miell Miell,5,oky,2025-07-30 01:07:35
Indra Andrian,5,ok,2025-07-30 01:03:29
Bohim j,5,mantap,2025-07-30 00:58:34
MUFID HIDAYAT,5,mantap bisa langsung disetujui... makasihh sangat membantu sekali,2025-07-30 00:42:11
Ewien Gho,1,pembohongan publik!!!!,2025-07-30 00:28:35
Agus Suranto,1,pengajuan di tolak trus kok suruh ajak teman untuk pinjam..,2025-07-30 00:21:22
Femby Abel,5,This platform has been improved recently...good please sustain the services,2025-07-30 00:20:58
Diaz Angga,1,ga sesuai iklan......ksh bintang 1 aj. karna d tolak. tolong data d hapus. Karena ga d acc,2025-07-30 00:20:45
Viasta lovers,5,di aplikasi adakami ini sangat cocok untuk yg membutuhkan modal karena bunga rendah dan tone 3 sampai 12 bulan,2025-07-30 00:16:29
Rsky Kaka,5,"Butuh dana cepet buat biaya operasional usaha toko aku, akhirnya ketemu yang cocok di Adakami ini karena teror pendek dan bunga yang rendah.",2025-07-30 00:09:48
Yuni Daniel,3,pinjaman di tolak tolng hpus data saya karna sya tdak prnah meminjam di apikasi ini,2025-07-30 00:09:37
hardian Saputra,5,"Aku lagi bangun usaha furniture dari kayu bekas, dan saat butuh dana tambahan buat beli alat pemotong, aku pakai Adakami buat modal usaha karena mereka kasih pilihan tenor pendek, dan bisa disesuaikan sama arus kas usahaku.",2025-07-30 00:07:45
Natalia Saragi,5,"Waktu lagi butuh dana cepat, daftar di AdaKami mudah banget.",2025-07-30 00:07:35
youre yoiji,5,"Cicilan aku terasa ringan karena ambil tenor pendek, jadi lebih cepat lunas.",2025-07-30 00:05:23
Proyek wika,1,Oke,2025-07-29 23:40:05
Madiayu Ayumadi,1,"maaf saya uninstall, krna takut.",2025-07-29 23:31:54
ivan mahfudi,1,teror nya parah. gak ada etika . telat sehari udah d teror semua media sosial . huhhh Nora. aplikasi Nora. cs nya kurang satengah,2025-07-29 23:23:11
Hilman 445,5,pinjaman terbukti aman dan mudah gampang tembus,2025-07-29 22:51:44
Arif Arif Guesy,5,menghaegai apk ini,2025-07-29 22:39:23
Aka Akid,5,mantap,2025-07-29 22:23:54
bismillah alhamdulillah,5,PINJAMAN YG SANGAT BAGUS CEPAT DAN BERMANFAAT,2025-07-29 22:20:17
Dinda Ariyanti,5,mudah diaccc,2025-07-29 22:12:52
Via Waspia,1,baik,2025-07-29 22:07:09
Danz,5,"Awalnya bingung cari pinjaman buat bayar uang pangkal kuliah adik, tapi setelah baca review orang-orang, aku coba Adakami. Eh bener aja, prosesnya simpel. Sekarang adikku udah masuk kuliah, thanks to Adakami.",2025-07-29 21:49:08
Rakyat Kota Sibolga,5,ok,2025-07-29 21:39:07
Osy Divia,4,ribet poll y,2025-07-29 21:36:39
Juwandy Manurung,4,sipp...,2025-07-29 21:28:01
Wangxian_ 2331,1,ya ampun ganggu bgt iklan ne😵‍💫,2025-07-29 21:24:52
irvan Catur Prasetyo,3,saya di tolak 1 kali dan semoga yang kedua kali di setujui,2025-07-29 21:14:31
Su Hada,3,bpk ibu yang terhormat sy yg bernama suhada mhn data pribadi sy dihapus,2025-07-29 20:57:11
Shirah Refardhan,1,"aku awal dapat limit 2jt,awalnya d kasih saran pinjam 200rb,belum smpai 1 Minggu udah aku lunasin,pas mau minjam yg kedua malah d tolak ngak ngejamin bsa d harapin aplikasi nya",2025-07-29 20:53:59
Faris Silmi,5,ok,2025-07-29 20:43:04
Suda Diyo,2,kenaikan limitnya terlalu kecil,2025-07-29 20:41:17
Kenshin Allail,1,kena juga di bohingn focer ... lucu sekali awal bulan nya tenor ringan pas di coba berbeda dngn awal nya jd yh bnr yg man nih pembyaran nya bos .. tolong jngn tipu2 focer lah,2025-07-29 20:34:39
Ridho Com,4,cukup lumayan bagus,2025-07-29 20:18:00
Dani Wardani,1,"hallo kak, apakah pencairan bisa lewat aplikasi DANA, soalnya rekening saya ke blokir",2025-07-29 20:16:34
Rahman Widodo,5,Mantab semoga di acc,2025-07-29 20:08:52
Waldi Pangkep,5,mantap,2025-07-29 19:59:56
Kukuh Jupiter,4,bgus,2025-07-29 19:43:39
Shadowmaster,5,mantap min gercep banget respon nya,2025-07-29 19:43:30
Pemadam Cilegon,5,mantap dan mudah di mengerti penjelasan nya,2025-07-29 19:16:03
Boedho Atung,5,"proses cepat, cicilan terjangkau... mantab",2025-07-29 19:08:26
Askar Abd muin,1,"dari tahun 2020 aku coba pinjam di aplikasi ini tapi sampai sekarang tiap aku melaku kan pinjaman selalu di tolak,padahal limit pinjaman nya cuma 240 ribu tapi selalu saja di tolak,giliran aku hapus aplikasi nya selalu saja oprator aplikasi nya menghubungi saya suruh meminjam,pas di ajukan pinjaman di lai lagi di tolak",2025-07-29 19:03:41
Andri Yanto,1,alfikasi sampah ini bisa g SMS saya terus saya tidak butuh alfikasi sampah,2025-07-29 19:02:27
Irfan Melinda,5,sangat baik dan respon cpt.,2025-07-29 18:56:48
Jacksen Uciha,1,mau ngasih pinjaman atau cuma mau masuk ke aplikasi kau aja ni udah masuk gak bisa minjam,2025-07-29 18:56:11
Hendrawan Saputra,5,luar biasa proses cepat,2025-07-29 18:45:31
Siti Muhanifatun nisa,5,oke sangat baik,2025-07-29 18:34:16
Ikman S,5,Aplikasi yang sangat tidak di ekomendasikan. Setiap pengajuan selalu di tolak.,2025-07-29 18:30:40
Fitriawati Adira,5,teimakasih. sangat membantu di saat mendesak.,2025-07-29 18:16:03
We are STANERS,1,spam Mulu padahal gak ad tagihan. spam nawarin ini itu ribet luu,2025-07-29 18:11:20
Iskandar Muda,5,proses cepat,2025-07-29 18:06:01
Wawan Resmawan,3,"gimana cara nya klo mau bukti kirim transferan,soal nya saya sudah bayar tapi masih terus di tagih...",2025-07-29 18:03:12
