userName,score,content,at,cleaned,sentiment
Hottua Situmorang,3,kemarin saya nelpon biar akun ku di blokir untuk sementara waktu karena ada transaksi yg bukan saya yang buat tapi pas aku cek cek ternyata transaksi itu dibuat sama teman ku. dan oke udh di bayar nya. tapi giliran ku telpon lagi biar akunku di aktifkan pihak kredivo tidak merespon alasannya sedang ditinjau sudah lebih 4 bulan. aku suka pakai kredivo karena banyak promo nya,2025-07-31 08:54:39,kemarin saya nelpon biar akun ku di blokir untuk sementara waktu karena ada transaksi yg bukan saya yang buat tapi pas aku cek cek ternyata transaksi itu dibuat sama teman ku. dan oke udh di bayar nya. tapi giliran ku telpon lagi biar akunku di aktifkan pihak kredivo tidak merespon alasannya sedang ditinjau sudah lebih 4 bulan. aku suka pakai kredivo karena banyak promo nya,positive
Taufiq Taufiqulloh,5,kita bayar tepat waktu pelayanan Kredivo makin mantab terimakasih banyak Kredivo,2025-07-31 08:47:48,kita bayar tepat waktu pelayanan Kredivo makin mantab terimakasih banyak Kredivo,positive
Didi Setiawan,5,"hati hati loh sma kredivo, telat bayar blm 1 bulan udah kaya rampok nagihin ke rumah, melebihi leasing motor, kapok pakai kredivo, parah penagihannya",2025-07-31 08:44:21,"hati hati loh sma kredivo, telat bayar blm 1 bulan udah kaya rampok nagihin ke rumah, melebihi leasing motor, kapok pakai kredivo, parah penagihannya",negative
Arif Hidayat,5,"kalau bisa admin dan bunga diturunkan, dan diberikan jatah pinjaman bisa 2 kali pinjaman...",2025-07-31 08:44:15,"kalau bisa admin dan bunga diturunkan, dan diberikan jatah pinjaman bisa 2 kali pinjaman...",neutral
Eben Badboy,5,sangat memuaskan..tp sayang limit nya masih kecil padahal udah sering menggunakan aplikasi kredivo,2025-07-31 08:42:23,sangat memuaskan..tp sayang limit nya masih kecil padahal udah sering menggunakan aplikasi kredivo,positive
Andika Prasetyo,5,The Best Kredivo! sangat membantu.,2025-07-31 08:41:35,The Best Kredivo! sangat membantu.,positive
herman sundanese,5,"saya penggemar setia kredivo,ruarrrrr biasa secepat itu pencairannya hitungan 3 detik uang masuk ke rekening pribadi, tenornya ditambah panjang lagi dan bunga nya turunin ya",2025-07-31 08:40:31,"saya penggemar setia kredivo,ruarrrrr biasa secepat itu pencairannya hitungan 3 detik uang masuk ke rekening pribadi, tenornya ditambah panjang lagi dan bunga nya turunin ya",positive
Herdi Oke,5,lebih mudah dan cepat,2025-07-31 08:39:13,lebih mudah dan cepat,positive
Deah Ananda,4,tolong ya kredivo jangn main asal tf tanpa seizin peminjam,2025-07-31 08:34:42,tolong ya kredivo jangn main asal tf tanpa seizin peminjam,neutral
Milawati S Putri,5,mantap naikin limit lagi,2025-07-31 08:31:01,mantap naikin limit lagi,positive
Aprillyanni Sune,5,pencairan cepat ☺️👍🏻,2025-07-31 08:28:46,pencairan cepat,negative
Muhamad Hafidz,5,"kredivo top, cuma hanya 1 yang bikin saya mumet kenapa akun saya belum bisa menjadi premium plus? sedangkan akun saya sudah lebih dari 1 tahun pemakaian dan tidak pernah telat bayar sama sekali tolong di jawab kak",2025-07-31 08:23:04,"kredivo top, cuma hanya 1 yang bikin saya mumet kenapa akun saya belum bisa menjadi premium plus? sedangkan akun saya sudah lebih dari 1 tahun pemakaian dan tidak pernah telat bayar sama sekali tolong di jawab kak",negative
Zetia Azzain,5,sangat membantu,2025-07-31 08:21:49,sangat membantu,positive
Valentinus Telaumbanua,5,APLIKASI SUMPAH,2025-07-31 08:18:20,APLIKASI SUMPAH,neutral
ARAL TV,5,kebutuhan saya jdi terbantu berkat aplikasi ini,2025-07-31 08:15:25,kebutuhan saya jdi terbantu berkat aplikasi ini,positive
Rudi Ismanto,5,sangat membantu,2025-07-31 08:13:58,sangat membantu,positive
Fradika Lesmana,5,Sangat membantu disaat tanggal tua 😁,2025-07-31 08:08:57,Sangat membantu disaat tanggal tua,positive
Eko Tsauban,5,waw kredivo paling TOP deh,2025-07-31 07:58:15,waw kredivo paling TOP deh,positive
Zainudin Zubaedah,5,biar bintang yang berbicara,2025-07-31 07:38:49,biar bintang yang berbicara,neutral
Mirna Wati,5,sangat baik dan berguna,2025-07-31 07:38:07,sangat baik dan berguna,positive
ADI FATIH,5,sangat membantu dan baik pelayanan nya,2025-07-31 07:35:57,sangat membantu dan baik pelayanan nya,positive
Adi Sudrajat,5,makin mudah dan terpercaya,2025-07-31 07:32:57,makin mudah dan terpercaya,positive
Sigit Sumarsono,5,Mudah dan membantu,2025-07-31 07:29:40,Mudah dan membantu,positive
Fadly Listrik,1,parahhhhhh bikin kapokkkkkkkk angsuran 6 bln tinggl 1 lgi lunas. telat 1 hari . jdi nambah 1 bln angsuran. tmbah lagi denda 50 ribu. bikin kapokkk pokoknya,2025-07-31 07:28:02,parahhhhhh bikin kapokkkkkkkk angsuran 6 bln tinggl 1 lgi lunas. telat 1 hari . jdi nambah 1 bln angsuran. tmbah lagi denda 50 ribu. bikin kapokkk pokoknya,negative
SZ Creator,5,bagus,2025-07-31 07:20:44,bagus,positive
Riyanti,5,sangat memuaskan,2025-07-31 07:16:22,sangat memuaskan,positive
Baren Sedayu,5,kerennn,2025-07-31 07:16:06,kerennn,positive
Wa Sawianti (Anti),5,Terima Kasih,2025-07-31 07:13:34,Terima Kasih,positive
Faisal Abdul “el kacong” Putra,5,"seru , banyak cuan nya pakai kredivo",2025-07-31 07:06:48,"seru , banyak cuan nya pakai kredivo",positive
Faisal Nst,5,"Bagus, respon cepat",2025-07-31 06:50:04,"Bagus, respon cepat",positive
Ilahiyah Network,5,mudah,2025-07-31 06:47:43,mudah,positive
Tien Sofie,1,bad,2025-07-31 06:43:33,bad,negative
Jhuned,4,"bunga lumayan tinggi ,perlu di turunkan untuk tarik konsumen🙏🙏",2025-07-31 06:37:58,"bunga lumayan tinggi ,perlu di turunkan untuk tarik konsumen",positive
Ayip Nurhidayat,5,puas,2025-07-31 06:30:58,puas,positive
Dara Kamilatu,5,ngabatu banget,2025-07-31 06:21:29,ngabatu banget,positive
Hamdi Yanto,5,prosesnya cepat,2025-07-31 06:16:29,prosesnya cepat,positive
Rohimah Rohimah,5,sangat membantu sekali,2025-07-31 06:15:17,sangat membantu sekali,positive
Adli Poborsky,5,"Mudah penggunaannya,, dan cepat utk bertransaksi. sekarang banyak fiturnya, bahkan bisa top up e-wallet bayar bulan depan benar benar membantu sekali. Masukkannya Kalau bisa untuk Kredifazz nya bisa 2 platform karena yang namanya keperluan mendadak tidak ada yang Mengetahuinya",2025-07-31 06:13:14,"Mudah penggunaannya,, dan cepat utk bertransaksi. sekarang banyak fiturnya, bahkan bisa top up ewallet bayar bulan depan benar benar membantu sekali. Masukkannya Kalau bisa untuk Kredifazz nya bisa 2 platform karena yang namanya keperluan mendadak tidak ada yang Mengetahuinya",positive
Asbifay Channel,5,mantap betul limit tinggi bunga rendah,2025-07-31 05:48:54,mantap betul limit tinggi bunga rendah,positive
Herman syah Syaputra,5,sangat membantu sekali untuk saya terima kasih,2025-07-31 05:29:36,sangat membantu sekali untuk saya terima kasih,positive
Ekko Koko,5,lumayan cepat proses nya... good...,2025-07-31 05:14:56,lumayan cepat proses nya... good...,positive
Aditya Sanjaya,5,naik limit lagi.. terimakasih yach,2025-07-31 05:11:22,naik limit lagi.. terimakasih yach,neutral
Suhendra Abo,5,kredivo ok bngt pokonya,2025-07-31 05:02:43,kredivo ok bngt pokonya,positive
Andika_ 69,1,buang buang waktu,2025-07-31 03:13:15,buang buang waktu,negative
Ari Mariyansyah,5,aplikasi sangat memuaskan,2025-07-31 02:58:45,aplikasi sangat memuaskan,positive
Oberlin Setiadi,5,good,2025-07-31 02:45:32,good,positive
Tarique Jacobs,3,"ini knp yah di bagian buat isi kode pos nya gk bisa sama sekali, tolong developer perbaiki masalah ini saya udah coba berulang kali tapi tetep gk bisa",2025-07-31 02:34:43,"ini knp yah di bagian buat isi kode pos nya gk bisa sama sekali, tolong developer perbaiki masalah ini saya udah coba berulang kali tapi tetep gk bisa",negative
Rini Jumiarsih,5,Kredivo Emang mantep,2025-07-31 02:32:33,Kredivo Emang mantep,positive
Indra Gunawan,5,"sangat membantu disaat kita butuh pinjaman, karena sangat mudah dan cepat proses nya",2025-07-31 02:14:20,"sangat membantu disaat kita butuh pinjaman, karena sangat mudah dan cepat proses nya",positive
LS Channel 21,1,"apk kaga jlas,bayar udah tepat waktu kredifaz ga prnah lolos",2025-07-31 01:41:00,"apk kaga jlas,bayar udah tepat waktu kredifaz ga prnah lolos",negative
SAKA RAJENDRA,5,bagus membantu,2025-07-31 01:36:08,bagus membantu,positive
Lian Zahri,5,mantap,2025-07-31 01:19:46,mantap,positive
Yanuar Afrizal,5,smoga di permudahkan segala urusan,2025-07-31 01:18:37,smoga di permudahkan segala urusan,positive
Ferdinan Siregar,1,saldo gk bisa di pake,2025-07-31 01:05:34,saldo gk bisa di pake,negative
Praja Simangunsong,5,teebaik,2025-07-31 00:50:59,teebaik,positive
Bachtiar Rifai,5,Ok,2025-07-31 00:42:23,Ok,positive
Resty Widyastuti,5,"terimakasih kredivo selalu menambah terus limit ku,apk paylater paling the best",2025-07-31 00:40:57,"terimakasih kredivo selalu menambah terus limit ku,apk paylater paling the best",positive
Aldi Prasetyo,5,mantaps dan sangat membantu,2025-07-31 00:36:34,mantaps dan sangat membantu,positive
Andi Nugraha,5,mantap,2025-07-31 00:35:15,mantap,positive
Erhansyah,5,semogah bisa membantu,2025-07-31 00:15:37,semogah bisa membantu,positive
Saripudin 1994,5,aplikasi sempurna,2025-07-30 23:45:04,aplikasi sempurna,positive
u sutisna,5,top 1,2025-07-30 23:20:51,top 1,positive
Airin Sembiring,5,bagus,2025-07-30 23:17:39,bagus,positive
Kenta Sukenta,1,"bayar selalu lancar, dan tepat waktu akun malah di tangguhkan sementara, ngga rekomend banget aah",2025-07-30 23:13:27,"bayar selalu lancar, dan tepat waktu akun malah di tangguhkan sementara, ngga rekomend banget aah",negative
Asriadi Kadus,5,bermanfaat,2025-07-30 23:12:34,bermanfaat,positive
Juli juli,5,mantap...👍👍👍,2025-07-30 23:11:27,mantap...,positive
Erna Yati,5,aplikasi yabg sangat bagus,2025-07-30 23:11:15,aplikasi yabg sangat bagus,positive
zidan p a,1,gak jelas,2025-07-30 23:07:17,gak jelas,negative
FERI Kurniawan,5,apk terbaik,2025-07-30 23:04:59,apk terbaik,positive
Irvan Agisni Noah,5,"gan kenapa aku kredivo saya diblokir permanen ? saya gak pernah ada masalah ,buat jualan pulsa",2025-07-30 22:48:50,"gan kenapa aku kredivo saya diblokir permanen ? saya gak pernah ada masalah ,buat jualan pulsa",neutral
Silvia Herawati,5,"solusi belanja dg cicilan ringan proses cepat dan murah hanya pada kredivo masalah bisa teratasi tanpa ribet pinjam sama sini , kapan lagi bisa semudah ini dan selancar ini dalam bertransaksi ketika dana belom tersedia segera lah instal kredivo maka masalah anda akan teratasi dengan mudah dan dibantu juga oleh personil yang handal keren pake bangetdeh kredivo ini yuk bersegeralah kapan lagi bisa memenuhi kebutuhan primer tanpa berpusing ria Krn di Kredivo persyaratan mudah sekali",2025-07-30 22:40:46,"solusi belanja dg cicilan ringan proses cepat dan murah hanya pada kredivo masalah bisa teratasi tanpa ribet pinjam sama sini , kapan lagi bisa semudah ini dan selancar ini dalam bertransaksi ketika dana belom tersedia segera lah instal kredivo maka masalah anda akan teratasi dengan mudah dan dibantu juga oleh personil yang handal keren pake bangetdeh kredivo ini yuk bersegeralah kapan lagi bisa memenuhi kebutuhan primer tanpa berpusing ria Krn di Kredivo persyaratan mudah sekali",positive
High Hokey,5,mantap,2025-07-30 22:36:09,mantap,positive
Santi Sasha,5,"sukses dan gak kaleng "" ..👍👍👍",2025-07-30 22:33:09,sukses dan gak kaleng ..,positive
Ario Pratama,5,"good,sangat membatu sekali terima kasih kredivo",2025-07-30 22:31:01,"good,sangat membatu sekali terima kasih kredivo",positive
SAYANG Aku,5,limit rendah,2025-07-30 22:27:34,limit rendah,negative
Ji Had,4,kerennnn,2025-07-30 22:03:16,kerennnn,positive
Randi Bee,5,Terbaik,2025-07-30 22:01:23,Terbaik,positive
Pepi Pradana,1,untuk data data saya harap di hapus karma saya tidak jadi pinjam,2025-07-30 21:53:49,untuk data data saya harap di hapus karma saya tidak jadi pinjam,neutral
the kadalz,1,Terimakasih sudah menemani saya selama 7 tahun Dulu sebelum kalian menggandeng kredifazz saya bisa dengan mudah menggunakan untuk pinjaman sampai 4x pinjaman dan pembayaran tanpa ada kendala hingga detik ini Namun setelah kalian menggandeng kredifazz saya seolah disepelekan oleh pihak kredifazz Saran saya tim audit kredifazz suruh sekolah lagi betul betul biar tidak merugikan nasabah lama Terimakasih sudah diizinkan menghapus akun secara permanenn,2025-07-30 21:45:10,Terimakasih sudah menemani saya selama 7 tahun Dulu sebelum kalian menggandeng kredifazz saya bisa dengan mudah menggunakan untuk pinjaman sampai 4x pinjaman dan pembayaran tanpa ada kendala hingga detik ini Namun setelah kalian menggandeng kredifazz saya seolah disepelekan oleh pihak kredifazz Saran saya tim audit kredifazz suruh sekolah lagi betul betul biar tidak merugikan nasabah lama Terimakasih sudah diizinkan menghapus akun secara permanenn,negative
Sinta Arisanti,5,sangat membantu,2025-07-30 21:45:04,sangat membantu,positive
Dhanliez Dani,5,cukup bagus,2025-07-30 21:44:20,cukup bagus,positive
Putri Hernovi,1,"aneh sumpah, saya g pernah telat ya sama sekali gapernah, saya sudah lunasi semua tapi ketolak alasan nya bodoh sekali",2025-07-30 21:42:24,"aneh sumpah, saya g pernah telat ya sama sekali gapernah, saya sudah lunasi semua tapi ketolak alasan nya bodoh sekali",negative
Dian Ratnasari,5,sangat membantu,2025-07-30 21:30:55,sangat membantu,positive
Luluk Afrida,2,saya gak ngerti punya limit 12 juta an baru di pake beli mainan anak sama token tau tau udah habis limitnyapadahal beli token cuma 500 sebulan,2025-07-30 21:15:38,saya gak ngerti punya limit 12 juta an baru di pake beli mainan anak sama token tau tau udah habis limitnyapadahal beli token cuma 500 sebulan,negative
Saiful Arsyad,5,Good👍,2025-07-30 21:08:48,Good,positive
Helmi Maulana A.F,3,"mau reset pin tapi selalu gabisa, udah pilih kirim lewat sms atau wa ttp gaada, padahal nomor masih aktif",2025-07-30 21:02:14,"mau reset pin tapi selalu gabisa, udah pilih kirim lewat sms atau wa ttp gaada, padahal nomor masih aktif",negative
Datuk Soleh,5,mntep kredivo..smua mslh jdi slsai..jos pkonya,2025-07-30 20:56:49,mntep kredivo..smua mslh jdi slsai..jos pkonya,neutral
Okran Natonis,4,aplikasi terlalu bangus,2025-07-30 20:47:44,aplikasi terlalu bangus,negative
Ira Ira susanti,5,sangat membantu,2025-07-30 20:47:06,sangat membantu,positive
LITTLE DRAGON,5,Terima Kasih Kredivo Yg Selalu Membantu. Proses Cepat Dan Hasilnya Cepat Juga. Semoga Nanti Di Berikan Limit Yg Lebih Besar Lagi. Terima Kasih Kredivo Sukses Selalu Untuk Kredivo.,2025-07-30 20:37:15,Terima Kasih Kredivo Yg Selalu Membantu. Proses Cepat Dan Hasilnya Cepat Juga. Semoga Nanti Di Berikan Limit Yg Lebih Besar Lagi. Terima Kasih Kredivo Sukses Selalu Untuk Kredivo.,positive
Yogaprtm,5,good,2025-07-30 20:31:47,good,positive
Mat Amin,5,bagus min,2025-07-30 20:28:17,bagus min,positive
Rommy Putra,5,mantul banget dah pokonya aplikasi kredivo nya💯 semua sangat mudah di akses mulai dari pinjaman nya sampai ke blajaan online nya,2025-07-30 20:22:02,mantul banget dah pokonya aplikasi kredivo nya semua sangat mudah di akses mulai dari pinjaman nya sampai ke blajaan online nya,positive
Rian Apandi,5,mantap,2025-07-30 20:11:53,mantap,positive
lepok,5,oke,2025-07-30 20:10:05,oke,positive
Apes Jangkung,5,"terima kasih kepada kredivo sudah menyetujui pengajuan saya dan langsung dapat akun "" PREMIUM "" . juga terima kasih untuk sales marketingnya yang sabar melayani saya yang sampai akhirnya disetujui dan dapat limit yang cukup untuk bisa bawa pulang barang elektronik yang saya inginkan.",2025-07-30 20:07:15,terima kasih kepada kredivo sudah menyetujui pengajuan saya dan langsung dapat akun PREMIUM . juga terima kasih untuk sales marketingnya yang sabar melayani saya yang sampai akhirnya disetujui dan dapat limit yang cukup untuk bisa bawa pulang barang elektronik yang saya inginkan.,positive
muhammad solihin Fratama,3,tiga dulu gak bisa di caikan uangny,2025-07-30 20:02:04,tiga dulu gak bisa di caikan uangny,neutral
R Rasmono Sundari,2,waktunya terlalu lama buat mendaftar kebanyakan syarat mending apknya habus bukanya singkat malah tambah pikiran emang ngga cape.,2025-07-30 20:01:56,waktunya terlalu lama buat mendaftar kebanyakan syarat mending apknya habus bukanya singkat malah tambah pikiran emang ngga cape.,negative
Setyaji Drh,5,Kredit Mudah Dan Cepat Dalam Melayani Client. Aman dan Terjamin. Thanks,2025-07-30 19:55:04,Kredit Mudah Dan Cepat Dalam Melayani Client. Aman dan Terjamin. Thanks,positive
RIKKI ANDREANHUTABARAT,5,prosesnya cepat,2025-07-30 19:38:13,prosesnya cepat,positive
Taufik Taufik,5,aplikasi ini sangat membantu cepat mantapppp,2025-07-30 19:15:44,aplikasi ini sangat membantu cepat mantapppp,positive
inayah asmauluzma,5,bagus,2025-07-30 19:15:09,bagus,positive
Ana Rudiansyah,5,good job,2025-07-30 19:07:14,good job,positive
Bambang Surahman,5,bagus,2025-07-30 19:00:28,bagus,positive
Arif nst,5,good,2025-07-30 18:45:43,good,positive
Brotoon Ngk,5,"masih, instal. belum transaksi. semoga amanah",2025-07-30 18:40:08,"masih, instal. belum transaksi. semoga amanah",negative
Ahmad Fikri,5,bunga nya sangat rendah,2025-07-30 18:30:38,bunga nya sangat rendah,negative
Alfazly,5,mantap,2025-07-30 18:30:26,mantap,positive
20-47 argo garzelo,5,bagus,2025-07-30 18:26:12,bagus,positive
Ronnydwi Putranto,5,good👍,2025-07-30 18:24:32,good,positive
Luthfi Gutawa,1,tidak memuaskan,2025-07-30 18:22:53,tidak memuaskan,negative
Duloh,5,bagus,2025-07-30 18:22:15,bagus,positive
Paijo Purnawirawan,5,mantap,2025-07-30 18:19:42,mantap,positive
sutisna tisna,2,Selalu di tolak klo transaksi nya,2025-07-30 18:18:11,Selalu di tolak klo transaksi nya,negative
Rina Wati,5,"Aplikasinya bagus, cepat dan mudah... 👍👍",2025-07-30 18:15:19,"Aplikasinya bagus, cepat dan mudah...",positive
Wahyu Aji,5,mantap,2025-07-30 18:13:31,mantap,positive
Jaelani Kendang,5,amanah,2025-07-30 18:11:42,amanah,positive
Akbar Satrio,5,mantap,2025-07-30 18:09:51,mantap,positive
Mansur Mansur,5,puas banget,2025-07-30 18:00:05,puas banget,positive
herlina handayani,5,"Kredivo aplikasi keren sangat membantu...💗💗💗 👍👍,trima kasih kredivo telah memberi kemudahaan dalam bertransaksi,makin di hati joss kredivo mantabb",2025-07-30 17:51:04,"Kredivo aplikasi keren sangat membantu... ,trima kasih kredivo telah memberi kemudahaan dalam bertransaksi,makin di hati joss kredivo mantabb",positive
Fikar Berlin,5,mantap,2025-07-30 17:46:30,mantap,positive
Rizki Ali,5,proses cepat,2025-07-30 17:43:24,proses cepat,positive
Alvino Saputra,5,bagus sekali,2025-07-30 17:36:29,bagus sekali,positive
muhamad taufik,5,sudah bisa di gunakan lagi .. tks kredivo,2025-07-30 17:35:52,sudah bisa di gunakan lagi .. tks kredivo,neutral
Dede Asanah,5,mantap dah kebantu .. ada nya kredivo,2025-07-30 17:35:34,mantap dah kebantu .. ada nya kredivo,positive
Amri Maulana,5,sangat membantu,2025-07-30 17:29:46,sangat membantu,positive
Abdoel Syoekoer,3,bagus,2025-07-30 17:27:27,bagus,positive
MI Thoriqul Jannah,5,ok keren,2025-07-30 17:24:27,ok keren,positive
Gril kirana,5,belum bisa cair tolong bantu cair kan,2025-07-30 17:24:06,belum bisa cair tolong bantu cair kan,neutral
Rioandoko.85 @Gmail.com,5,bagus.. aplikasi yg sangat2 bermanfaat,2025-07-30 17:21:04,bagus.. aplikasi yg sangat2 bermanfaat,positive
Nabil Dafa,5,mudah dan cepat bunga rendah,2025-07-30 17:16:47,mudah dan cepat bunga rendah,positive
Yusni Kholifah,5,aplikasi nya mantab sangat membantu,2025-07-30 17:15:16,aplikasi nya mantab sangat membantu,positive
Endang Suhanda,5,mudah dan cepat,2025-07-30 17:14:29,mudah dan cepat,positive
Endang Kasep,5,"terimakasih kredivo sangat membantu,, tlong lah naikin limit pinjaman sya 🙏",2025-07-30 17:11:39,"terimakasih kredivo sangat membantu,, tlong lah naikin limit pinjaman sya",positive
Doni production,5,makasi,2025-07-30 17:05:15,makasi,negative
Lyza ardinata,5,"cepet diproses, semoga selalu aman, bakal berlangganan 🤍🤍",2025-07-30 16:45:19,"cepet diproses, semoga selalu aman, bakal berlangganan",negative
Doni Aji,5,luar biasa,2025-07-30 16:43:05,luar biasa,positive
Indra Sanjaya,5,terbaik Poko nya sangat mudah dan membantu,2025-07-30 16:26:45,terbaik Poko nya sangat mudah dan membantu,positive
Novriyadi Achmal Azis,5,good apk... top,2025-07-30 16:26:05,good apk... top,positive
Arkadius 72,4,mantap kredivo dapat memberikan kemudahan dalam berbelanja bisa berhutang.,2025-07-30 16:15:15,mantap kredivo dapat memberikan kemudahan dalam berbelanja bisa berhutang.,positive
Rienha Herma,5,"aplikasi ini sangat membantu, mantapss !!",2025-07-30 16:09:28,"aplikasi ini sangat membantu, mantapss !!",positive
Agus RB,5,dengan aplikasi ini semua bisa dibantu .. makasih admin 😇🙏 sukses selalu,2025-07-30 16:03:44,dengan aplikasi ini semua bisa dibantu .. makasih admin sukses selalu,positive
Wijaya Kusuma,5,cukup bagus,2025-07-30 16:01:52,cukup bagus,positive
Fani Pratika,5,sangat membantu,2025-07-30 16:00:29,sangat membantu,positive
Putri Pane,5,kredivo sangat membantu,2025-07-30 15:57:40,kredivo sangat membantu,positive
music project,5,oke baik,2025-07-30 15:56:10,oke baik,positive
Yuliana Mahdalena Evlin Lengkong,5,sangat membantu kebutuhan kami dan semoga semakin banyak kemudahan.,2025-07-30 15:44:47,sangat membantu kebutuhan kami dan semoga semakin banyak kemudahan.,positive
Vira Karlina,5,sangat mudah di akses cukup puas dengan kredivo,2025-07-30 15:40:49,sangat mudah di akses cukup puas dengan kredivo,positive
Ikfar 25,5,aplikasi sangat baik.. proses cepat bunga rendah,2025-07-30 15:36:35,aplikasi sangat baik.. proses cepat bunga rendah,positive
Lukman Hanafi,5,sangat membantu,2025-07-30 15:35:28,sangat membantu,positive
ALAN Dd,5,"mantap kredivo sangat membantu,semoga semakin awet.",2025-07-30 15:26:25,"mantap kredivo sangat membantu,semoga semakin awet.",positive
Tjong An,1,percuma download..baru pake 280rb ga bisa pake lagi,2025-07-30 15:23:27,percuma download..baru pake 280rb ga bisa pake lagi,negative
Moch Shofiy,1,"Sdh bertahun2 limit msh tetep 29juta ...padahal pembayaran lancar tidak sesuai di iklan nih ...tlg kebijakan kredivo diperhatikan..sy bs edit lg ulasan klo tdk ada perubahan, dan juga sekarang lebih parah lagi ketika kita sudah bayar tenor 1 bulan 3 bulan dll tapi limit lama kembalinya gak seperti kredivo dahulu",2025-07-30 15:23:20,"Sdh bertahun2 limit msh tetep 29juta ...padahal pembayaran lancar tidak sesuai di iklan nih ...tlg kebijakan kredivo diperhatikan..sy bs edit lg ulasan klo tdk ada perubahan, dan juga sekarang lebih parah lagi ketika kita sudah bayar tenor 1 bulan 3 bulan dll tapi limit lama kembalinya gak seperti kredivo dahulu",negative
Rudhono Ogidinoto,5,cepat dan simpel,2025-07-30 15:12:27,cepat dan simpel,positive
Ahmad Budi,4,4 dlu ya 5 nya nyusul,2025-07-30 15:10:39,4 dlu ya 5 nya nyusul,neutral
Meylisa Putri,5,aplikasi yg sangat bagus bunga renda dan mempermudah belanja senang sekali pakai aplikasi ini,2025-07-30 15:08:29,aplikasi yg sangat bagus bunga renda dan mempermudah belanja senang sekali pakai aplikasi ini,positive
Sepsela Anggi,1,belum pernah pinjam sudah di tolak apk sistem eror,2025-07-30 15:06:47,belum pernah pinjam sudah di tolak apk sistem eror,negative
SOLEHA,3,kredivo aku d blokir permanen pdhal cicilan nggak pernah nunggak tlg dong bukak kembali kredivo aku,2025-07-30 15:03:09,kredivo aku d blokir permanen pdhal cicilan nggak pernah nunggak tlg dong bukak kembali kredivo aku,neutral
