userName,score,content,at
Prastio Isco,5,bagus,2025-07-31 03:50:06
Syamsul Bahri,5,semoga bermanfaat buat yg membutuhkan,2025-07-31 03:38:12
Akbar Maulana,5,puas,2025-07-31 03:14:05
PUBG MOBILE OFFICIAL,2,"bintang 2 dulu, acc langsung bintang 5",2025-07-31 02:54:07
Rahman Marabes1969,5,tlong dibantu buat usaha,2025-07-31 02:29:18
Pakihudin Pakihudin,1,mantap,2025-07-31 02:27:18
Abdrahmansiddiq1991,2,"belum berani kasih bintang full, soalnya pengen tau cepat atau tidak proses pencarian nya",2025-07-31 02:25:49
anto teo,5,mantapp dan simple LM,2025-07-31 01:23:32
Meta Lia,5,semoga cepat bisa pinjam,2025-07-31 01:17:52
Sidiq Idik,5,semoga membantu masyarakat kecil,2025-07-31 00:59:28
Amir Solihin,5,sangat bagus,2025-07-31 00:47:44
Sehan Budin,4,terimakasih atas kerjasamanya,2025-07-31 00:15:16
Pawit Kuper,1,ini aplikasi kok susah si mau aktifasi aja susah nya minta ampun... ketika apk di bukak sinya nol...,2025-07-31 00:09:40
Huda Chaegaul,5,bagus,2025-07-31 00:09:19
Chandra Ngangak,5,sangat bagus,2025-07-30 23:53:15
Achmad Chabib,5,Mantab,2025-07-30 23:50:03
Ichsan Ichsanolak,5,mantap,2025-07-30 23:45:49
Mahyu Danil,5,good,2025-07-30 23:18:21
Apip Argomulyo,5,krennn gercep,2025-07-30 22:58:27
HajjiYamin 39,5,semoga di acc,2025-07-30 22:56:16
NATAN Andrian Panjaitan,5,sangat baik,2025-07-30 22:27:50
Nitha Official,5,"proses verifikasi cepat, tapi pengajuan masih tanda tanya.",2025-07-30 22:25:19
Boeng Skyy,5,bagus untuk pinjaman,2025-07-30 22:14:45
reffan Ardiansyah,5,mantef,2025-07-30 22:06:29
Repi Saputra,5,keren banget semoga bisa bermanpat,2025-07-30 22:03:28
Fitri Anjani,5,mantap.mohon diproses,2025-07-30 22:02:34
Neneng Putri,5,Mantaps,2025-07-30 22:00:35
ridwan hidayat,5,baik,2025-07-30 21:59:00
Jendela Pager,5,respon yang baik,2025-07-30 21:46:02
Mulyanti Yanti,2,mudahan di proses lancar,2025-07-30 21:41:59
Arcelio,5,mudah mudahan di acc,2025-07-30 21:34:57
Ali Bina,5,sangat baik aku suka,2025-07-30 21:34:24
Fedi Irawan,5,mudah mudahan di ACC,2025-07-30 21:32:25
Ruri Uchil,5,"mantap, terimakasih",2025-07-30 21:30:21
M.riskon Esa sapurta,5,godd,2025-07-30 21:25:24
Ali lanciep Ali,5,mantapp,2025-07-30 21:15:48
Muhammad Putut Daniswara,1,"pengajuan pertama langsung di tolak, semoga tidak di salah gunakan data saya.",2025-07-30 21:15:39
GAN dul,5,mau saya coba dulu,2025-07-30 21:14:33
erni sapitri,1,"aplukasi tidak recomended.. Yg Recomended itu ⬇️ Allo bank Kredivo Honest akulaku Tiktok m-smile ocbc, limit juga di atas 10Jt",2025-07-30 21:13:32
Tinah Tinah,2,assalamualaikum bapak tolong hapus data saya dikarenakan saya nga pernah pinjem di aplikasi indodana tpi saya dapat tagihan terus dari aplikasi indodana,2025-07-30 21:06:58
Sukma Editz,4,"sya kasih binta 4 dulu soal baru nyoba mudah""pengajuan nya d acc",2025-07-30 21:00:04
Awal Hilmi,5,smngga d ksih dan d acc ksih bintang 5 langsung amin,2025-07-30 20:56:59
Mohammad Iqbal,1,Aplikasi kaga jelas pembayaranbagus malah di non aktifkan. KAGA JELAS,2025-07-30 20:48:48
Aswar Sofyan,5,semoga berhasil,2025-07-30 20:36:39
fiat Dicky,2,dua aja dlu KLO d asese baru pull bintang,2025-07-30 20:19:35
Alief Shaputra,4,nanti kalu ACC naik ke 6,2025-07-30 20:09:27
Rian Similikiti,4,"mudah dan tidak ribet, sangat membantu sih iniii",2025-07-30 20:06:43
Ujang Balmon,5,tolong min acc,2025-07-30 20:05:50
andy margantara,4,bintang 4 dl KL acc bintang 5,2025-07-30 19:45:22
srw tsm,1,"Gila bunga nya,, bener"" mencekik",2025-07-30 19:42:18
Septy Deh,5,terimaksih sangat ramah,2025-07-30 19:41:43
I'm_rhey,5,top,2025-07-30 19:32:56
Angga123 Angga Anshori,5,aplikasi yg membantu mksih,2025-07-30 19:29:46
Reza Ikhwan,5,"terimah kasih indodana ,aplikasi yang sangat membantu kebutuhan mendesak",2025-07-30 19:29:11
Ujang Spard,5,mantap,2025-07-30 19:00:20
Dede Rohimah,5,mantul,2025-07-30 18:59:34
Angela Valencia,5,pengajuan cepat banget dan limit banyak,2025-07-30 18:51:07
Elsa Wati,3,semoga bisa acc,2025-07-30 18:40:23
Msaepudin Saepudin,4,kasih 4 bintang dulu,2025-07-30 18:32:07
Dessy Riiany,3,coba 3 bintang dulu yaaaaaa,2025-07-30 18:24:19
Acep Utong94,5,semoga acc,2025-07-30 18:23:57
farhan julian,5,semoga d acc,2025-07-30 18:22:25
Arid Dungga,5,mantap 👍,2025-07-30 18:04:29
Ridwan,5,sangat membantu yang lagi butuh,2025-07-30 18:03:38
radiana tea,2,susah dapet limit apk jelek,2025-07-30 17:45:13
Ika Yunita,1,"ga jadi, ga jelas saya uninstall lagi",2025-07-30 17:21:17
Wibowo Sulistianto,5,aplikasi yg sangat membantu,2025-07-30 17:21:06
Zakia Putri,4,semoga jauh lebih baik,2025-07-30 17:12:52
Jani Sn,5,semoga di acc,2025-07-30 16:27:25
Ati Hikmawati,5,indo dana limit besar,2025-07-30 16:23:54
Cici Anggi,5,mantap aplikasinya,2025-07-30 16:22:21
Yuli Maryani,5,mantap,2025-07-30 16:02:57
Amin Marlutim,5,Sangat membantu,2025-07-30 16:01:29
Wiki Selebew,5,prosesnya cepat,2025-07-30 15:43:49
Satriaputra Ranjani,5,sangat puwas,2025-07-30 15:35:51
Mus Kamal,1,limit saya knpa di matikan,2025-07-30 15:34:35
Hendry Halim,5,Verry Good,2025-07-30 15:26:51
Nony Thesman,5,bgus,2025-07-30 15:06:00
abdoel basith,5,coba dulu cek limitnya,2025-07-30 15:01:38
Kenny Jatu,5,baik kalau saya dapat limit,2025-07-30 14:59:57
Fiki Andriyanto,5,layanan sangat mudah,2025-07-30 14:52:35
Adil Rejeki,4,bagus,2025-07-30 14:52:11
shanti hapsari,5,OK,2025-07-30 14:50:51
raka wijaya,5,mudah2an di acc,2025-07-30 14:43:19
dyv teknik,5,bagus,2025-07-30 14:37:47
Fahmi VR,1,dari dulu sampai sekarang pengajuan saya di tolak trs,2025-07-30 14:37:42
Advokat Indonesia,1,sy kasi bintang 1 dlu apalbila sudh d ACC Bru sy kasi LG bintang,2025-07-30 14:35:55
Leonora Saselah,1,baik,2025-07-30 14:30:29
Basri Basri,5,memuas kan proses cepat tanpa ribet dan sangat membantu,2025-07-30 14:23:36
Ari Smaker,5,Semoga sukses,2025-07-30 14:08:44
tatria satria,5,sangat bagus,2025-07-30 13:55:18
Jozua Doom44,5,semoga membantu,2025-07-30 13:50:42
Deni Idm,1,"di tolak mulu,kalau gak mau biayain cicilan hp gak apa2 bilang aja, kan yg namanya jelek bukan hanya saya kalau bunganya 0,01 perbulan bnyk konsumen yg gak bakal jelek namanya, karna bunga tinggi jadi bnyk konsumen yg galbay penghasilan gak sbrpa minjem bunganya besar bgt perhari lagi, terima kasih",2025-07-30 13:49:54
Nuzula Kumala,5,good,2025-07-30 13:27:38
Mokhamad sholeh Sholeh,4,oke,2025-07-30 13:02:54
DEEJAY SHAG,5,Cepat dan terpercaya,2025-07-30 12:58:11
Indra Hadiwijaya,5,good job,2025-07-30 12:48:42
Oppo A12,5,sangat baik,2025-07-30 12:46:14
Ronifaslah Bule,5,baguss cepat,2025-07-30 12:11:58
Dany Putra,4,mudah2n cair pinjamannga,2025-07-30 12:07:46
Hani Handayani,5,mantap sangat cepat dan mudah di acc,2025-07-30 12:03:49
Ari Setiadi,5,kereeen,2025-07-30 12:02:59
Defikar Rasyid,5,"sangat baik aplikasi nya, cepat ga lama, ga ribet Simple",2025-07-30 11:58:09
yoga yoga,2,gak d acc kecewa,2025-07-30 11:54:21
Fery Perottt,5,cepat cair,2025-07-30 11:49:20
Razka Alvari0,5,ok,2025-07-30 11:49:15
rifan robani,1,"aplksi payah, verifikasi wajah ga bisa ,dekatkan jauhkan kayak ingus",2025-07-30 11:37:30
Arief Soedomo,5,simpel ...moga di acc,2025-07-30 11:31:15
Nur Azizah,5,semoga lancar barokah,2025-07-30 11:29:49
Agus Setiawan,5,Sangat bagus dalm pendaftaranya G tralu ribet dan mudah,2025-07-30 11:24:07
hendrik Kusuma,1,detail dan aman,2025-07-30 11:17:47
Muhalim,5,"Pengajuan simple, ga ribet!",2025-07-30 11:12:02
ADE ISMANTO,5,sangat membantu,2025-07-30 11:00:51
Sarkawijaya Sarka,5,sangat memuaskan.smoga berhasil,2025-07-30 10:58:56
Dian Elvira,3,bintang 3 dlu Krn blm tau di ACC atau tdk,2025-07-30 10:54:11
Muhammad Kasatriawan,5,"good,sangat membantu masyarakat indonesia yg sedang membutuhkan",2025-07-30 10:53:49
Kamel Udin,5,mungkin hari ini bisa membantu,2025-07-30 10:39:52
Arisman Tongyong,5,sangat mudah dan gampang,2025-07-30 10:39:22
Cak Manito,2,bagus pelayanannya,2025-07-30 10:38:46
Muslich Nur,5,mantap,2025-07-30 10:36:35
Teguh Kare,3,kirim 3 bintang dulu,2025-07-30 10:34:30
Peter Alfonsus,5,saya cek koq gangguan ya,2025-07-30 10:18:35
Riki Firdaus,5,oke baik,2025-07-30 10:05:49
Sadi Algipari,5,mudah2n di acc,2025-07-30 09:44:45
Sri Puji,3,baik sekali,2025-07-30 09:40:54
Yuni Juliana,1,meneror tanpa henti dan mengganggu kegiatan orang padahal tidak ada tunggakan,2025-07-30 09:33:49
Ammini 09,5,sangat membantu,2025-07-30 09:24:31
ois bekti,1,belom ngutang udh di telponin 1hari 5x disuruh ngutang.. jadi males pakai indodana lagi,2025-07-30 08:57:23
Arif Mualim Rahmadan,5,bagus,2025-07-30 08:47:25
Ayu mayana,5,"sengaja kasih bintang lima biar di baca padahal saya belum pernah sama sekali yg nama nya berhutang tapi kenapa tidak di ACC, kalo tau begini tidak di ACC kenapa harus daftar pakai KTP dan verifikasi wajah ? . tolong hapus data² saya pada hari ini tgl 30 bulan Juli tahun 2025",2025-07-30 08:33:56
Luluk Sri Murni,2,g di acc ok dah,2025-07-30 08:24:28
Sudirman Gani,5,bagus,2025-07-30 08:24:17
Dewi Eva,5,semoga amanah,2025-07-30 08:09:34
Budi Santoso,5,OK,2025-07-30 07:52:25
Budi santoso,5,Semoga Acc,2025-07-30 07:33:10
Mailina malik,5,proses cepat moga bisa membantu sya amin,2025-07-30 07:26:33
Angga Lpriandhana,5,membantu,2025-07-30 07:25:41
Afif zuhad (afif zu),5,masih dicoba semoga ACC,2025-07-30 06:54:48
Frendi Pranata,5,mantap,2025-07-30 06:46:02
Sandi Hernawan,4,sukses indo finance,2025-07-30 06:26:39
Imam Mlya,5,walaupun gak pernah dapat minjam tapi kasih bintang 5 aja lah,2025-07-30 06:09:49
Yono,4,ok,2025-07-30 04:17:18
Azizi Rezki pane,5,saya kasih bintang 5,2025-07-30 03:21:30
dewi lestari,5,top,2025-07-30 02:17:57
Zhakir,5,teriman kasih semoga dapat limit besar,2025-07-30 02:17:23
asep sudrajat,4,good,2025-07-30 02:05:14
Bayu Prasetyo,5,sangat bagus dan membantu disaat keadaan genting,2025-07-30 01:59:16
Nadia Fanesa,5,sangat membantu di saat kita mmemmbutuh kan dana usaha,2025-07-30 01:58:20
Dandi Eben,5,keren,2025-07-30 01:55:48
Revie Wahid,3,sangat membantu,2025-07-30 01:34:24
Een Suhaerni,3,kasih 3 dulu,2025-07-30 01:14:35
Fatah Hilah,5,aplikasi yang sangat bermanfaat,2025-07-30 00:59:43
Ripendi pendi,5,mantap,2025-07-30 00:56:23
Fashion Nyonya,4,ok lagi dicoba,2025-07-30 00:50:23
yayak arum,5,bagus,2025-07-30 00:21:58
Nurjanah Widia sari,4,bagus top,2025-07-30 00:18:21
Rhian Cubex,5,solusi pinjam uang paling terbaik 👍💯,2025-07-30 00:12:13
Ipung Dakri,5,semoga bermanfaat,2025-07-29 23:30:00
Riki Kurniawan,5,baik,2025-07-29 23:21:22
Sofyan Syarifudin,5,good,2025-07-29 23:18:15
Susanti Mira,5,jgn salah gunakan data saya,2025-07-29 23:00:46
Chepia Rahman,5,luar biasa bisa membantu kan saya pinjaman,2025-07-29 22:52:02
Dio Armana293,5,puas,2025-07-29 22:26:36
Mar Zebua,5,tolong di mudahkan ya pak.buat modal usaha,2025-07-29 22:19:57
Zahier Alfarisqy,5,sangat membantu pas lagi susah,2025-07-29 22:18:52
muhamad rendi12,5,sangat bagus,2025-07-29 22:13:44
Oki Sudarminto,5,good,2025-07-29 22:09:46
Yuli Sugesti,5,aplikasi yg bagus,2025-07-29 21:58:59
Mnur Nur,5,mantap,2025-07-29 21:56:19
CHACHA HANDRIYANA,5,baik,2025-07-29 21:44:51
Haryani Yani,5,ok punya,2025-07-29 21:36:28
Shanti Thio,4,baik smoga bisa membantu,2025-07-29 21:26:34
Santo Nenotek,5,mantap,2025-07-29 21:12:41
Santi Susanti,5,pinjam buat modal usaha,2025-07-29 21:10:03
Dedy Agusman,5,mantap,2025-07-29 20:22:44
Ernawatii Elii,5,sangat baik,2025-07-29 20:10:51
hajimi manopo,4,baru mau mencoba,2025-07-29 20:10:41
Ujuk Mat,3,baik,2025-07-29 19:43:14
Felix Mayampoh,5,👍,2025-07-29 19:42:40
Yadi Dil,4,klo sidetujui saya kasih satu bintang lagi,2025-07-29 19:35:46
Andre Rinaldi,1,padahal data udah bnr tapi di tolak trus,2025-07-29 19:33:31
Aidil Ismail,5,hari ini saya uninstall saya mohon data data saya di hapus karena pengajuan di tolak jangan salahgunakan data data,2025-07-29 19:31:34
Didi Agus,5,amnah,2025-07-29 19:24:43
Maudillah Fariz,5,sangat membantu,2025-07-29 19:21:42
Anggita Indy,4,Yth bapak/ibu Saya yang bernama Riyadi Meminta tolong untuk menghapus data pribadi saya di aplikasi ini Dikarnakan pinjaman saya tidak dapat di proses atau di tolak. Saya tunggu balasan dari bapak/ibu. Terimakasih,2025-07-29 19:21:21
Pendi Uday,3,semoga bisa cair,2025-07-29 19:07:51
Azizah nurazizah,5,terimakasih indona a semoga semakin banyak peminatnya yah,2025-07-29 18:21:09
Adimas Jarwo,5,baik,2025-07-29 18:20:02
Saepulloh Epul,5,sangat membantu,2025-07-29 18:12:37
Burane Upa,5,mudah dan memudahkan,2025-07-29 18:09:40
Siti Arofah,4,sangat bagus,2025-07-29 18:02:48
alimmah anjanihikmah,5,sy yakin indodana adalah solusi terbaik,2025-07-29 17:40:34
Ridwan,5,semoga di ACC,2025-07-29 17:25:21
EDI JUNAEDI,4,kasih bintang 4 dlu,2025-07-29 17:19:43
Nur Hidayati,4,baik,2025-07-29 17:18:50
Husni,5,semoga aja bisa membantu untuk modal usaha,2025-07-29 17:12:01
Soimin Soimin,5,semoga membantu,2025-07-29 17:11:04
febuar devan,5,moga acc,2025-07-29 16:41:26
Raz ff,5,moga aja dapet limit ini udh apk yg keberapa mau nyicil hp kalo mau beli langsung ga bisa banyak kebutuhan lainnya,2025-07-29 16:36:17
Kinda Pesek,5,semoga membantu,2025-07-29 16:29:01
Ida Upami,4,cepat dan ramah,2025-07-29 15:49:20
Syafiq Muhammad,5,mantap,2025-07-29 15:48:27
Anak Gades,5,semoga bermanfaat,2025-07-29 15:36:32
Ilyas,5,keren apknyaa limitnya juga bagus,2025-07-29 15:36:20
Amalia Ayu Saputri,5,bagus,2025-07-29 15:34:30
Ratna Aisya,5,cukup membantu dan bunganya rendah di banding yg lain. makasih indodana...,2025-07-29 15:23:56
Prasetia Adiguna,4,ok,2025-07-29 15:22:12
Jamaludin Jamaludin,5,top,2025-07-29 15:13:00
Roda Cake,5,indodana fintech cicilannya murah saya sangat senang,2025-07-29 14:52:57
Abdi Afrizio,5,aplikasi pinjaman modal ini sangat baik dan mudah,2025-07-29 14:48:24
Ban Zaii,1,apk taiii sampah,2025-07-29 14:48:17
Maulid junaidi Junaidi,4,"kok kadang limit nya suka di bekukan yaaa padahal udah nyaman pake apk ini terus kadang di telvonin pas jam kerja padahal ga pernah telat bayar malah bayar sebelum tempo nya masih lama banget , kaya marketing nya gitu nawarin tapi nelpon nya pas di jam kerja",2025-07-29 14:40:56
Ari Linggau,5,saya mendapatkn limit semoga pengjuan pijman saya di peroses kn dan di bantu,2025-07-29 14:25:23
Marwan Pakaya,5,baru coba,2025-07-29 14:21:28
indra gunawan,1,"yth bapak/ibu sehubungan dengan penolakan ny kridit pinjaman saya, saya mohon untuk menghapus kan data pribadi saya, dikarenakan takut disalahkan gunakan terima kasih",2025-07-29 14:06:25
Ridwan Iwan,5,baik,2025-07-29 14:01:35
Dede Kurniasih,5,"ga bisa ajukan pinjaman, padahal ga punya rekam jejak merah😭😭😭",2025-07-29 13:51:03
Yuditha Gabriel,5,sangat membantu dengan limit yg tinggi..dan mudah utk di gunakan..🙏,2025-07-29 13:49:22
Efendisantosa Miswatiatun,4,semoga berkembang,2025-07-29 13:37:56
Safar Tayang,5,bagus,2025-07-29 13:34:49
Additya Family,5,Ok,2025-07-29 13:29:38
Demarisma Lasemedan,5,semoga cair pinjaman nya,2025-07-29 13:25:41
arky nyd,5,baik,2025-07-29 13:18:42
anandaa aadaa,5,semoga bisa d acc,2025-07-29 13:07:56
Erlita Lita,3,ok,2025-07-29 12:56:35
Nuraeni Cantil,5,baik,2025-07-29 12:54:07
Andi Putra,4,smoga acc,2025-07-29 12:53:16
Jefris Okdean,1,"Nomor kartu udh non aktif tapi untuk ganti nomor lama ke baru ribet banget. Kalah sama akulaku dan kredivo yang cukup dengan verifikasi wajah aja. Ini harus segala minta bukti ke provider, kalo provider ga ngasih malah ga percaya sialan. Customer Service lu gak ngebantu banget, ubah tuh SOP lu yang ribet ke customer sialan.",2025-07-29 12:43:23
Apri Suryanto,5,semoga acc,2025-07-29 12:41:36
Vanbasten. Butarbutar,5,bagus,2025-07-29 12:25:28
Nuarwarsa Nuar,5,baik,2025-07-29 12:22:11
Findi Dwi,5,mantab,2025-07-29 12:18:02
Rudy setiawan,3,good,2025-07-29 12:12:14
BROETAL 11,5,ok fix,2025-07-29 12:03:59
Manto94,5,sangat mambantu,2025-07-29 12:03:20
Iwan Heri,5,sangat puas,2025-07-29 12:01:52
Johan pratama,5,mantap,2025-07-29 11:55:05
jojon sujaman,4,Sangat bagus puas,2025-07-29 11:54:11
Yudha Arif utomo,5,semoga di bantu,2025-07-29 11:35:04
Neng riska Yunita,1,tiba tiba banget di tolak dasar apk gajelas,2025-07-29 11:31:29
Amir Rullah,3,mudah,2025-07-29 11:24:07
rusdianto272,5,aplikasi yang sudah sangat terkemuka,2025-07-29 11:14:45
Laurentius Ludvi Arviyanto,5,beda nya dengan yg fintech apa,2025-07-29 11:13:58
Rizki Indrawan,1,"berisik bangett spam mulu telfonin, padahal gapernah pake atau pinjem di apk ini 😤",2025-07-29 11:12:23
Izonk Sakara,3,bguss bnget tr kasih bintang 5 klo udah ok,2025-07-29 10:26:56
Nandar Aza,5,sangat berguna untuk meminjam uang disaat keadaan mendesak,2025-07-29 10:24:39
Alfa Rizky,5,ok,2025-07-29 10:22:02
Sona Kurnia,5,smoga jaya teruss,2025-07-29 09:53:18
Rosid Gavar,5,ko blom bisa ya padahal saya tidak ada keterlambatan,2025-07-29 09:47:13
isti rahmini,5,mudah cepat,2025-07-29 09:36:18
Asril Idris,5,good👍,2025-07-29 09:32:42
Iftita Hussa'adah,4,pengajuan mudah liat hasil akhirnya,2025-07-29 09:31:39
Didin Komarudin,4,semoga ga d acc,2025-07-29 09:28:11
Zahraadisti Zahraadisti,5,ok,2025-07-29 08:58:13
Kar yadi,5,besar harapan saya semoga Indodana dapat mewujudkan impian saya 🙏,2025-07-29 08:39:26
muhamad Sahid,5,semoga wilayahku tercover indodana dan bisa menyetujui pengajuan saya untuk kegiatan usaha dll..proses pengajuan simple dan tak ada bug sama sekali..keren pokoknya ⭐⭐⭐⭐,2025-07-29 08:32:42
Ucida Prianti,5,sangat mempermudah prosesnya,2025-07-29 08:28:55
Dika Oi,3,mudahan pengajuan saya di ACC sudah banyak saya ngajukan pinjaman malah di tolak semuanya.. padahal saya lagi butuh bener berarti aplikasi lain itu hoak semua saya kasih bintang 3 dulu kalo emang benar bisa cair nanti saya bintang 5 semoga berhasil,2025-07-29 07:59:03
Heru Wibowo (Heru),5,semoga di setujui,2025-07-29 07:40:42
Arnol liling,5,bagus,2025-07-29 07:12:08
Anime Sport,5,bagus walaupun rumit banget daftarnya,2025-07-29 06:45:19
Ochi Ochita,5,baik,2025-07-29 06:34:57
Syahira Zismi,4,(jawa barat) SANGAT MEMBANTU 👍👍👍,2025-07-29 06:18:25
abdi aditama,3,3 bintang dl yah,2025-07-29 05:24:07
Chifa Chifa,5,semoga aja sesuai,2025-07-29 04:50:31
Ilyas Iskandar,3,ok,2025-07-29 04:47:09
Bapa Situt,5,sangat membantu,2025-07-29 04:44:29
Nur Soleh,5,aplikasi mantap sangat membantu,2025-07-29 03:26:22
Victor jonparel Siburian,5,gampang daftarnya gak ribet,2025-07-29 03:26:05
Khadirin Teya,5,"saya pengajuan di indodana cepat,dan cicilan juga ringan",2025-07-29 03:11:56
supri atin,3,kasih 3. bintang dulu kalo di ACC baru bintang,2025-07-29 03:11:33
masbroo 867,5,bagus asli,2025-07-29 02:58:14
Bagas Udin,5,Darurat Bos,2025-07-29 02:46:49
Abdur Rohim,3,oke,2025-07-29 02:36:10
Heri Arga,5,semoga bermanfaat bagi masyarakat Indonesia,2025-07-29 02:35:21
Arif Inuzuka,5,baru mencoba,2025-07-29 02:05:27
Sahli Syaputra,5,pendaftaran tidak ribet semoga bisa langsung di acc,2025-07-29 02:02:27
Toni,5,proses cepat,2025-07-29 01:58:36
Kriz Krisnadi,5,bagus bangettt,2025-07-29 01:49:49
Riandayat,5,buagus,2025-07-29 01:34:00
Teguh Wibowo,5,puas,2025-07-29 01:29:24
Eko Handrika,5,mantap,2025-07-29 01:10:19
Kurokawa Izana Hanagaki (Kakucho),1,Aplikasi ga jelas. verify muka suruh maju mundur jauhkan dekatkan ampe nempel ke mata tetep aja bolak balik ga bisa bisa jaringan dan kamera bagus.,2025-07-29 00:36:51
Arang Septian,5,limit kecill tapi pengajuan selalu gagal,2025-07-29 00:26:34
Arwan putra hasibuan,5,cukup mudah dan membntu,2025-07-29 00:16:23
Heru 123,5,baik,2025-07-29 00:02:05
MOHAMMAD DANES RAMADHAN,5,bagus,2025-07-28 23:57:42
Andre Zain,1,aplikasi tak berguna memperibet orang sama sekali tak pernah buat hutang itu yang di tolak mending di tutup aja aplikasi nya soalnya tak berguna asik di tolak terus,2025-07-28 23:46:33
Sumiyati 123,5,woke,2025-07-28 23:38:45
Rifki Harahap,5,semoga pengajuan saya disetuji,2025-07-28 23:18:32
Andi Sati,5,mantap,2025-07-28 23:14:26
Ekowiwit apriadi,5,semoga diacc,2025-07-28 23:11:05
Jange94 Datuk,5,baik,2025-07-28 23:08:17
eri setiawan,5,semoga bisa cair buat modal usaha.,2025-07-28 23:08:10
Bagjaaa Fadhilah bahrummm,5,semoga di acc,2025-07-28 23:06:23
budi saputra,5,bagus,2025-07-28 23:02:38
Mambo Regar,5,good,2025-07-28 23:00:43
Iwan Irawan,5,mugo aja bisa cair uang nya,2025-07-28 22:18:28
Yopi Haeropi,5,mudah2an di ACC,2025-07-28 22:04:50
Ina Indratmi,5,👍👍👍,2025-07-28 21:52:08
Elsa Suciati,3,mudah2n aplikasi ini membantu dlm mslh keuangannya,2025-07-28 21:46:16
Abdul Dilla,1,saya hapus aplikasi ini.28/7/2025.jngn salah gunakan data sya,2025-07-28 21:45:11
Ichsan Nurfaizy,5,good,2025-07-28 21:30:56
Fadhlurrahman 03,5,"sebenarnya saya mau coba dulu pinjaman, benar atau hoak, ya kita lanjut aja",2025-07-28 21:28:10
Sarip Hidayat,5,good,2025-07-28 21:24:57
