userName,score,content,at,cleaned,sentiment
Jani Sn,5,semoga di acc,2025-07-30 16:27:25,semoga di acc,neutral
Ati Hikmawati,5,indo dana limit besar,2025-07-30 16:23:54,indo dana limit besar,neutral
Cici Anggi,5,mantap aplikasinya,2025-07-30 16:22:21,mantap aplikasinya,positive
Yuli Maryani,5,mantap,2025-07-30 16:02:57,mantap,positive
Amin Marlutim,5,Sangat membantu,2025-07-30 16:01:29,Sangat membantu,positive
Wiki Selebew,5,prosesnya cepat,2025-07-30 15:43:49,prosesnya cepat,positive
Satriaputra Ranjani,5,sangat puwas,2025-07-30 15:35:51,sangat puwas,positive
Mus Kamal,1,limit saya knpa di matikan,2025-07-30 15:34:35,limit saya knpa di matikan,negative
Hendry Halim,5,Verry Good,2025-07-30 15:26:51,Verry Good,positive
Nony Thesman,5,bgus,2025-07-30 15:06:00,bgus,positive
abdoel basith,5,coba dulu cek limitnya,2025-07-30 15:01:38,coba dulu cek limitnya,neutral
Kenny Jatu,5,baik kalau saya dapat limit,2025-07-30 14:59:57,baik kalau saya dapat limit,neutral
Fiki Andriyanto,5,layanan sangat mudah,2025-07-30 14:52:35,layanan sangat mudah,positive
Adil Rejeki,4,bagus,2025-07-30 14:52:11,bagus,positive
shanti hapsari,5,OK,2025-07-30 14:50:51,OK,negative
raka wijaya,5,mudah2an di acc,2025-07-30 14:43:19,mudah2an di acc,neutral
dyv teknik,5,bagus,2025-07-30 14:37:47,bagus,positive
Fahmi VR,1,dari dulu sampai sekarang pengajuan saya di tolak trs,2025-07-30 14:37:42,dari dulu sampai sekarang pengajuan saya di tolak trs,negative
Advokat Indonesia,1,sy kasi bintang 1 dlu apalbila sudh d ACC Bru sy kasi LG bintang,2025-07-30 14:35:55,sy kasi bintang 1 dlu apalbila sudh d ACC Bru sy kasi LG bintang,neutral
Leonora Saselah,1,baik,2025-07-30 14:30:29,baik,positive
Basri Basri,5,memuas kan proses cepat tanpa ribet dan sangat membantu,2025-07-30 14:23:36,memuas kan proses cepat tanpa ribet dan sangat membantu,positive
Ari Smaker,5,Semoga sukses,2025-07-30 14:08:44,Semoga sukses,positive
tatria satria,5,sangat bagus,2025-07-30 13:55:18,sangat bagus,positive
Jozua Doom44,5,semoga membantu,2025-07-30 13:50:42,semoga membantu,positive
Deni Idm,1,"di tolak mulu,kalau gak mau biayain cicilan hp gak apa2 bilang aja, kan yg namanya jelek bukan hanya saya kalau bunganya 0,01 perbulan bnyk konsumen yg gak bakal jelek namanya, karna bunga tinggi jadi bnyk konsumen yg galbay penghasilan gak sbrpa minjem bunganya besar bgt perhari lagi, terima kasih",2025-07-30 13:49:54,"di tolak mulu,kalau gak mau biayain cicilan hp gak apa2 bilang aja, kan yg namanya jelek bukan hanya saya kalau bunganya 0,01 perbulan bnyk konsumen yg gak bakal jelek namanya, karna bunga tinggi jadi bnyk konsumen yg galbay penghasilan gak sbrpa minjem bunganya besar bgt perhari lagi, terima kasih",positive
Nuzula Kumala,5,good,2025-07-30 13:27:38,good,positive
Mokhamad sholeh Sholeh,4,oke,2025-07-30 13:02:54,oke,positive
DEEJAY SHAG,5,Cepat dan terpercaya,2025-07-30 12:58:11,Cepat dan terpercaya,positive
Indra Hadiwijaya,5,good job,2025-07-30 12:48:42,good job,positive
Oppo A12,5,sangat baik,2025-07-30 12:46:14,sangat baik,positive
Ronifaslah Bule,5,baguss cepat,2025-07-30 12:11:58,baguss cepat,positive
Dany Putra,4,mudah2n cair pinjamannga,2025-07-30 12:07:46,mudah2n cair pinjamannga,positive
Hani Handayani,5,mantap sangat cepat dan mudah di acc,2025-07-30 12:03:49,mantap sangat cepat dan mudah di acc,positive
Ari Setiadi,5,kereeen,2025-07-30 12:02:59,kereeen,positive
Defikar Rasyid,5,"sangat baik aplikasi nya, cepat ga lama, ga ribet Simple",2025-07-30 11:58:09,"sangat baik aplikasi nya, cepat ga lama, ga ribet Simple",positive
yoga yoga,2,gak d acc kecewa,2025-07-30 11:54:21,gak d acc kecewa,negative
Fery Perottt,5,cepat cair,2025-07-30 11:49:20,cepat cair,positive
Razka Alvari0,5,ok,2025-07-30 11:49:15,ok,negative
rifan robani,1,"aplksi payah, verifikasi wajah ga bisa ,dekatkan jauhkan kayak ingus",2025-07-30 11:37:30,"aplksi payah, verifikasi wajah ga bisa ,dekatkan jauhkan kayak ingus",negative
Arief Soedomo,5,simpel ...moga di acc,2025-07-30 11:31:15,simpel ...moga di acc,positive
Nur Azizah,5,semoga lancar barokah,2025-07-30 11:29:49,semoga lancar barokah,positive
Agus Setiawan,5,Sangat bagus dalm pendaftaranya G tralu ribet dan mudah,2025-07-30 11:24:07,Sangat bagus dalm pendaftaranya G tralu ribet dan mudah,positive
hendrik Kusuma,1,detail dan aman,2025-07-30 11:17:47,detail dan aman,positive
Muhalim,5,"Pengajuan simple, ga ribet!",2025-07-30 11:12:02,"Pengajuan simple, ga ribet!",negative
ADE ISMANTO,5,sangat membantu,2025-07-30 11:00:51,sangat membantu,positive
Sarkawijaya Sarka,5,sangat memuaskan.smoga berhasil,2025-07-30 10:58:56,sangat memuaskan.smoga berhasil,positive
Dian Elvira,3,bintang 3 dlu Krn blm tau di ACC atau tdk,2025-07-30 10:54:11,bintang 3 dlu Krn blm tau di ACC atau tdk,negative
Muhammad Kasatriawan,5,"good,sangat membantu masyarakat indonesia yg sedang membutuhkan",2025-07-30 10:53:49,"good,sangat membantu masyarakat indonesia yg sedang membutuhkan",positive
Kamel Udin,5,mungkin hari ini bisa membantu,2025-07-30 10:39:52,mungkin hari ini bisa membantu,positive
Arisman Tongyong,5,sangat mudah dan gampang,2025-07-30 10:39:22,sangat mudah dan gampang,positive
Cak Manito,2,bagus pelayanannya,2025-07-30 10:38:46,bagus pelayanannya,positive
Muslich Nur,5,mantap,2025-07-30 10:36:35,mantap,positive
Teguh Kare,3,kirim 3 bintang dulu,2025-07-30 10:34:30,kirim 3 bintang dulu,neutral
Peter Alfonsus,5,saya cek koq gangguan ya,2025-07-30 10:18:35,saya cek koq gangguan ya,negative
Riki Firdaus,5,oke baik,2025-07-30 10:05:49,oke baik,positive
Sadi Algipari,5,mudah2n di acc,2025-07-30 09:44:45,mudah2n di acc,neutral
Sri Puji,3,baik sekali,2025-07-30 09:40:54,baik sekali,positive
Yuni Juliana,1,meneror tanpa henti dan mengganggu kegiatan orang padahal tidak ada tunggakan,2025-07-30 09:33:49,meneror tanpa henti dan mengganggu kegiatan orang padahal tidak ada tunggakan,negative
Ammini 09,5,sangat membantu,2025-07-30 09:24:31,sangat membantu,positive
ois bekti,1,belom ngutang udh di telponin 1hari 5x disuruh ngutang.. jadi males pakai indodana lagi,2025-07-30 08:57:23,belom ngutang udh di telponin 1hari 5x disuruh ngutang.. jadi males pakai indodana lagi,negative
Arif Mualim Rahmadan,5,bagus,2025-07-30 08:47:25,bagus,positive
Ayu mayana,5,"sengaja kasih bintang lima biar di baca padahal saya belum pernah sama sekali yg nama nya berhutang tapi kenapa tidak di ACC, kalo tau begini tidak di ACC kenapa harus daftar pakai KTP dan verifikasi wajah ? . tolong hapus data² saya pada hari ini tgl 30 bulan Juli tahun 2025",2025-07-30 08:33:56,"sengaja kasih bintang lima biar di baca padahal saya belum pernah sama sekali yg nama nya berhutang tapi kenapa tidak di ACC, kalo tau begini tidak di ACC kenapa harus daftar pakai KTP dan verifikasi wajah ? . tolong hapus data saya pada hari ini tgl 30 bulan Juli tahun 2025",negative
Luluk Sri Murni,2,g di acc ok dah,2025-07-30 08:24:28,g di acc ok dah,neutral
Sudirman Gani,5,bagus,2025-07-30 08:24:17,bagus,positive
Dewi Eva,5,semoga amanah,2025-07-30 08:09:34,semoga amanah,positive
Budi Santoso,5,OK,2025-07-30 07:52:25,OK,negative
Budi santoso,5,Semoga Acc,2025-07-30 07:33:10,Semoga Acc,positive
Mailina malik,5,proses cepat moga bisa membantu sya amin,2025-07-30 07:26:33,proses cepat moga bisa membantu sya amin,positive
Angga Lpriandhana,5,membantu,2025-07-30 07:25:41,membantu,positive
Afif zuhad (afif zu),5,masih dicoba semoga ACC,2025-07-30 06:54:48,masih dicoba semoga ACC,neutral
Frendi Pranata,5,mantap,2025-07-30 06:46:02,mantap,positive
Sandi Hernawan,4,sukses indo finance,2025-07-30 06:26:39,sukses indo finance,positive
Imam Mlya,5,walaupun gak pernah dapat minjam tapi kasih bintang 5 aja lah,2025-07-30 06:09:49,walaupun gak pernah dapat minjam tapi kasih bintang 5 aja lah,positive
Yono,4,ok,2025-07-30 04:17:18,ok,negative
Azizi Rezki pane,5,saya kasih bintang 5,2025-07-30 03:21:30,saya kasih bintang 5,neutral
dewi lestari,5,top,2025-07-30 02:17:57,top,positive
Zhakir,5,teriman kasih semoga dapat limit besar,2025-07-30 02:17:23,teriman kasih semoga dapat limit besar,positive
asep sudrajat,4,good,2025-07-30 02:05:14,good,positive
Bayu Prasetyo,5,sangat bagus dan membantu disaat keadaan genting,2025-07-30 01:59:16,sangat bagus dan membantu disaat keadaan genting,positive
Nadia Fanesa,5,sangat membantu di saat kita mmemmbutuh kan dana usaha,2025-07-30 01:58:20,sangat membantu di saat kita mmemmbutuh kan dana usaha,positive
Dandi Eben,5,keren,2025-07-30 01:55:48,keren,positive
Revie Wahid,3,sangat membantu,2025-07-30 01:34:24,sangat membantu,positive
Een Suhaerni,3,kasih 3 dulu,2025-07-30 01:14:35,kasih 3 dulu,neutral
Fatah Hilah,5,aplikasi yang sangat bermanfaat,2025-07-30 00:59:43,aplikasi yang sangat bermanfaat,positive
Ripendi pendi,5,mantap,2025-07-30 00:56:23,mantap,positive
Fashion Nyonya,4,ok lagi dicoba,2025-07-30 00:50:23,ok lagi dicoba,negative
yayak arum,5,bagus,2025-07-30 00:21:58,bagus,positive
Nurjanah Widia sari,4,bagus top,2025-07-30 00:18:21,bagus top,positive
Rhian Cubex,5,solusi pinjam uang paling terbaik 👍💯,2025-07-30 00:12:13,solusi pinjam uang paling terbaik,positive
Ipung Dakri,5,semoga bermanfaat,2025-07-29 23:30:00,semoga bermanfaat,positive
Riki Kurniawan,5,baik,2025-07-29 23:21:22,baik,positive
Sofyan Syarifudin,5,good,2025-07-29 23:18:15,good,positive
Susanti Mira,5,jgn salah gunakan data saya,2025-07-29 23:00:46,jgn salah gunakan data saya,neutral
Chepia Rahman,5,luar biasa bisa membantu kan saya pinjaman,2025-07-29 22:52:02,luar biasa bisa membantu kan saya pinjaman,positive
Dio Armana293,5,puas,2025-07-29 22:26:36,puas,positive
Mar Zebua,5,tolong di mudahkan ya pak.buat modal usaha,2025-07-29 22:19:57,tolong di mudahkan ya pak.buat modal usaha,neutral
Zahier Alfarisqy,5,sangat membantu pas lagi susah,2025-07-29 22:18:52,sangat membantu pas lagi susah,positive
muhamad rendi12,5,sangat bagus,2025-07-29 22:13:44,sangat bagus,positive
Oki Sudarminto,5,good,2025-07-29 22:09:46,good,positive
Yuli Sugesti,5,aplikasi yg bagus,2025-07-29 21:58:59,aplikasi yg bagus,positive
Mnur Nur,5,mantap,2025-07-29 21:56:19,mantap,positive
CHACHA HANDRIYANA,5,baik,2025-07-29 21:44:51,baik,positive
Haryani Yani,5,ok punya,2025-07-29 21:36:28,ok punya,negative
Shanti Thio,4,baik smoga bisa membantu,2025-07-29 21:26:34,baik smoga bisa membantu,positive
Santo Nenotek,5,mantap,2025-07-29 21:12:41,mantap,positive
Santi Susanti,5,pinjam buat modal usaha,2025-07-29 21:10:03,pinjam buat modal usaha,positive
Dedy Agusman,5,mantap,2025-07-29 20:22:44,mantap,positive
Ernawatii Elii,5,sangat baik,2025-07-29 20:10:51,sangat baik,positive
hajimi manopo,4,baru mau mencoba,2025-07-29 20:10:41,baru mau mencoba,negative
Ujuk Mat,3,baik,2025-07-29 19:43:14,baik,positive
Felix Mayampoh,5,👍,2025-07-29 19:42:40,,ERROR
Yadi Dil,4,klo sidetujui saya kasih satu bintang lagi,2025-07-29 19:35:46,klo sidetujui saya kasih satu bintang lagi,neutral
Andre Rinaldi,1,padahal data udah bnr tapi di tolak trus,2025-07-29 19:33:31,padahal data udah bnr tapi di tolak trus,negative
Aidil Ismail,5,hari ini saya uninstall saya mohon data data saya di hapus karena pengajuan di tolak jangan salahgunakan data data,2025-07-29 19:31:34,hari ini saya uninstall saya mohon data data saya di hapus karena pengajuan di tolak jangan salahgunakan data data,neutral
Didi Agus,5,amnah,2025-07-29 19:24:43,amnah,negative
Maudillah Fariz,5,sangat membantu,2025-07-29 19:21:42,sangat membantu,positive
Anggita Indy,4,Yth bapak/ibu Saya yang bernama Riyadi Meminta tolong untuk menghapus data pribadi saya di aplikasi ini Dikarnakan pinjaman saya tidak dapat di proses atau di tolak. Saya tunggu balasan dari bapak/ibu. Terimakasih,2025-07-29 19:21:21,Yth bapakibu Saya yang bernama Riyadi Meminta tolong untuk menghapus data pribadi saya di aplikasi ini Dikarnakan pinjaman saya tidak dapat di proses atau di tolak. Saya tunggu balasan dari bapakibu. Terimakasih,neutral
Pendi Uday,3,semoga bisa cair,2025-07-29 19:07:51,semoga bisa cair,neutral
Azizah nurazizah,5,terimakasih indona a semoga semakin banyak peminatnya yah,2025-07-29 18:21:09,terimakasih indona a semoga semakin banyak peminatnya yah,positive
Adimas Jarwo,5,baik,2025-07-29 18:20:02,baik,positive
Saepulloh Epul,5,sangat membantu,2025-07-29 18:12:37,sangat membantu,positive
Burane Upa,5,mudah dan memudahkan,2025-07-29 18:09:40,mudah dan memudahkan,positive
Siti Arofah,4,sangat bagus,2025-07-29 18:02:48,sangat bagus,positive
alimmah anjanihikmah,5,sy yakin indodana adalah solusi terbaik,2025-07-29 17:40:34,sy yakin indodana adalah solusi terbaik,positive
Ridwan,5,semoga di ACC,2025-07-29 17:25:21,semoga di ACC,neutral
EDI JUNAEDI,4,kasih bintang 4 dlu,2025-07-29 17:19:43,kasih bintang 4 dlu,neutral
Nur Hidayati,4,baik,2025-07-29 17:18:50,baik,positive
Husni,5,semoga aja bisa membantu untuk modal usaha,2025-07-29 17:12:01,semoga aja bisa membantu untuk modal usaha,positive
Soimin Soimin,5,semoga membantu,2025-07-29 17:11:04,semoga membantu,positive
febuar devan,5,moga acc,2025-07-29 16:41:26,moga acc,positive
