userName,score,content,at
Silvia Herawati,5,"solusi belanja dg cicilan ringan proses cepat dan murah hanya pada kredivo masalah bisa teratasi tanpa ribet pinjam sama sini , kapan lagi bisa semudah ini dan selancar ini dalam bertransaksi ketika dana belom tersedia segera lah instal kredivo maka masalah anda akan teratasi dengan mudah dan dibantu juga oleh personil yang handal keren pake bangetdeh kredivo ini yuk bersegeralah kapan lagi bisa memenuhi kebutuhan primer tanpa berpusing ria Krn di Kredivo persyaratan mudah sekali",2025-07-30 22:40:46
High Hokey,5,mantap,2025-07-30 22:36:09
Santi Sasha,5,"sukses dan gak kaleng "" ..👍👍👍",2025-07-30 22:33:09
Ario Pratama,5,"good,sangat membatu sekali terima kasih kredivo",2025-07-30 22:31:01
SAYANG Aku,5,limit rendah,2025-07-30 22:27:34
Ji Had,4,kerennnn,2025-07-30 22:03:16
Randi Bee,5,Terbaik,2025-07-30 22:01:23
Pepi Pradana,1,untuk data data saya harap di hapus karma saya tidak jadi pinjam,2025-07-30 21:53:49
the kadalz,1,Terimakasih sudah menemani saya selama 7 tahun Dulu sebelum kalian menggandeng kredifazz saya bisa dengan mudah menggunakan untuk pinjaman sampai 4x pinjaman dan pembayaran tanpa ada kendala hingga detik ini Namun setelah kalian menggandeng kredifazz saya seolah disepelekan oleh pihak kredifazz Saran saya tim audit kredifazz suruh sekolah lagi betul betul biar tidak merugikan nasabah lama Terimakasih sudah diizinkan menghapus akun secara permanenn,2025-07-30 21:45:10
Sinta Arisanti,5,sangat membantu,2025-07-30 21:45:04
Dhanliez Dani,5,cukup bagus,2025-07-30 21:44:20
Putri Hernovi,1,"aneh sumpah, saya g pernah telat ya sama sekali gapernah, saya sudah lunasi semua tapi ketolak alasan nya bodoh sekali",2025-07-30 21:42:24
Dian Ratnasari,5,sangat membantu,2025-07-30 21:30:55
Luluk Afrida,2,saya gak ngerti punya limit 12 juta an baru di pake beli mainan anak sama token tau tau udah habis limitnyapadahal beli token cuma 500 sebulan,2025-07-30 21:15:38
Saiful Arsyad,5,Good👍,2025-07-30 21:08:48
Helmi Maulana A.F,3,"mau reset pin tapi selalu gabisa, udah pilih kirim lewat sms atau wa ttp gaada, padahal nomor masih aktif",2025-07-30 21:02:14
Datuk Soleh,5,mntep kredivo..smua mslh jdi slsai..jos pkonya,2025-07-30 20:56:49
Okran Natonis,4,aplikasi terlalu bangus,2025-07-30 20:47:44
Ira Ira susanti,5,sangat membantu,2025-07-30 20:47:06
LITTLE DRAGON,5,Terima Kasih Kredivo Yg Selalu Membantu. Proses Cepat Dan Hasilnya Cepat Juga. Semoga Nanti Di Berikan Limit Yg Lebih Besar Lagi. Terima Kasih Kredivo Sukses Selalu Untuk Kredivo.,2025-07-30 20:37:15
Yogaprtm,5,good,2025-07-30 20:31:47
Mat Amin,5,bagus min,2025-07-30 20:28:17
Rommy Putra,5,mantul banget dah pokonya aplikasi kredivo nya💯 semua sangat mudah di akses mulai dari pinjaman nya sampai ke blajaan online nya,2025-07-30 20:22:02
Rian Apandi,5,mantap,2025-07-30 20:11:53
lepok,5,oke,2025-07-30 20:10:05
Apes Jangkung,5,"terima kasih kepada kredivo sudah menyetujui pengajuan saya dan langsung dapat akun "" PREMIUM "" . juga terima kasih untuk sales marketingnya yang sabar melayani saya yang sampai akhirnya disetujui dan dapat limit yang cukup untuk bisa bawa pulang barang elektronik yang saya inginkan.",2025-07-30 20:07:15
muhammad solihin Fratama,3,tiga dulu gak bisa di caikan uangny,2025-07-30 20:02:04
R Rasmono Sundari,2,waktunya terlalu lama buat mendaftar kebanyakan syarat mending apknya habus bukanya singkat malah tambah pikiran emang ngga cape.,2025-07-30 20:01:56
Setyaji Drh,5,Kredit Mudah Dan Cepat Dalam Melayani Client. Aman dan Terjamin. Thanks,2025-07-30 19:55:04
RIKKI ANDREANHUTABARAT,5,prosesnya cepat,2025-07-30 19:38:13
Taufik Taufik,5,aplikasi ini sangat membantu cepat mantapppp,2025-07-30 19:15:44
inayah asmauluzma,5,bagus,2025-07-30 19:15:09
Ana Rudiansyah,5,good job,2025-07-30 19:07:14
Bambang Surahman,5,bagus,2025-07-30 19:00:28
Arif nst,5,good,2025-07-30 18:45:43
Brotoon Ngk,5,"masih, instal. belum transaksi. semoga amanah",2025-07-30 18:40:08
Ahmad Fikri,5,bunga nya sangat rendah,2025-07-30 18:30:38
Alfazly,5,mantap,2025-07-30 18:30:26
20-47 argo garzelo,5,bagus,2025-07-30 18:26:12
Ronnydwi Putranto,5,good👍,2025-07-30 18:24:32
Luthfi Gutawa,1,tidak memuaskan,2025-07-30 18:22:53
Duloh,5,bagus,2025-07-30 18:22:15
Paijo Purnawirawan,5,mantap,2025-07-30 18:19:42
sutisna tisna,2,Selalu di tolak klo transaksi nya,2025-07-30 18:18:11
Rina Wati,5,"Aplikasinya bagus, cepat dan mudah... 👍👍",2025-07-30 18:15:19
Wahyu Aji,5,mantap,2025-07-30 18:13:31
Jaelani Kendang,5,amanah,2025-07-30 18:11:42
Akbar Satrio,5,mantap,2025-07-30 18:09:51
Mansur Mansur,5,puas banget,2025-07-30 18:00:05
herlina handayani,5,"Kredivo aplikasi keren sangat membantu...💗💗💗 👍👍,trima kasih kredivo telah memberi kemudahaan dalam bertransaksi,makin di hati joss kredivo mantabb",2025-07-30 17:51:04
Fikar Berlin,5,mantap,2025-07-30 17:46:30
Rizki Ali,5,proses cepat,2025-07-30 17:43:24
Alvino Saputra,5,bagus sekali,2025-07-30 17:36:29
muhamad taufik,5,sudah bisa di gunakan lagi .. tks kredivo,2025-07-30 17:35:52
Dede Asanah,5,mantap dah kebantu .. ada nya kredivo,2025-07-30 17:35:34
Amri Maulana,5,sangat membantu,2025-07-30 17:29:46
Abdoel Syoekoer,3,bagus,2025-07-30 17:27:27
MI Thoriqul Jannah,5,ok keren,2025-07-30 17:24:27
Gril kirana,5,belum bisa cair tolong bantu cair kan,2025-07-30 17:24:06
Rioandoko.85 @Gmail.com,5,bagus.. aplikasi yg sangat2 bermanfaat,2025-07-30 17:21:04
Nabil Dafa,5,mudah dan cepat bunga rendah,2025-07-30 17:16:47
Yusni Kholifah,5,aplikasi nya mantab sangat membantu,2025-07-30 17:15:16
Endang Suhanda,5,mudah dan cepat,2025-07-30 17:14:29
Endang Kasep,5,"terimakasih kredivo sangat membantu,, tlong lah naikin limit pinjaman sya 🙏",2025-07-30 17:11:39
Doni production,5,makasi,2025-07-30 17:05:15
Lyza ardinata,5,"cepet diproses, semoga selalu aman, bakal berlangganan 🤍🤍",2025-07-30 16:45:19
Doni Aji,5,luar biasa,2025-07-30 16:43:05
Indra Sanjaya,5,terbaik Poko nya sangat mudah dan membantu,2025-07-30 16:26:45
Novriyadi Achmal Azis,5,good apk... top,2025-07-30 16:26:05
Arkadius 72,4,mantap kredivo dapat memberikan kemudahan dalam berbelanja bisa berhutang.,2025-07-30 16:15:15
Rienha Herma,5,"aplikasi ini sangat membantu, mantapss !!",2025-07-30 16:09:28
Agus RB,5,dengan aplikasi ini semua bisa dibantu .. makasih admin 😇🙏 sukses selalu,2025-07-30 16:03:44
Wijaya Kusuma,5,cukup bagus,2025-07-30 16:01:52
Fani Pratika,5,sangat membantu,2025-07-30 16:00:29
Putri Pane,5,kredivo sangat membantu,2025-07-30 15:57:40
music project,5,oke baik,2025-07-30 15:56:10
Yuliana Mahdalena Evlin Lengkong,5,sangat membantu kebutuhan kami dan semoga semakin banyak kemudahan.,2025-07-30 15:44:47
Vira Karlina,5,sangat mudah di akses cukup puas dengan kredivo,2025-07-30 15:40:49
Ikfar 25,5,aplikasi sangat baik.. proses cepat bunga rendah,2025-07-30 15:36:35
Lukman Hanafi,5,sangat membantu,2025-07-30 15:35:28
ALAN Dd,5,"mantap kredivo sangat membantu,semoga semakin awet.",2025-07-30 15:26:25
Tjong An,1,percuma download..baru pake 280rb ga bisa pake lagi,2025-07-30 15:23:27
Moch Shofiy,1,"Sdh bertahun2 limit msh tetep 29juta ...padahal pembayaran lancar tidak sesuai di iklan nih ...tlg kebijakan kredivo diperhatikan..sy bs edit lg ulasan klo tdk ada perubahan, dan juga sekarang lebih parah lagi ketika kita sudah bayar tenor 1 bulan 3 bulan dll tapi limit lama kembalinya gak seperti kredivo dahulu",2025-07-30 15:23:20
Rudhono Ogidinoto,5,cepat dan simpel,2025-07-30 15:12:27
Ahmad Budi,4,4 dlu ya 5 nya nyusul,2025-07-30 15:10:39
Meylisa Putri,5,aplikasi yg sangat bagus bunga renda dan mempermudah belanja senang sekali pakai aplikasi ini,2025-07-30 15:08:29
Sepsela Anggi,1,belum pernah pinjam sudah di tolak apk sistem eror,2025-07-30 15:06:47
SOLEHA,3,kredivo aku d blokir permanen pdhal cicilan nggak pernah nunggak tlg dong bukak kembali kredivo aku,2025-07-30 15:03:09
Henny Siswaty,5,tolong hapus data saya Min krn tidak ada penghapusan data di apk ini. saya tidak jadi pinjam di apk ini. tgl 30/7/25 saya uninstal apk ini.,2025-07-30 15:03:00
Roni Tiga,5,👍👍👍,2025-07-30 15:02:38
Alvaro Ella,5,sangat berfungsi,2025-07-30 14:58:06
Dimas,1,"setelah daftar kredivo stiap hari jadi banyak panggilan masuk nomor asing, kayaknya data pengguna seperti nomor hp disebar, pdhal kita cuma daftar dan gak pinjam apapun tapi selalu di telfon.",2025-07-30 14:42:26
Wiseman zbe,5,bagus,2025-07-30 14:40:59
Gunawan,5,ok,2025-07-30 14:39:03
Saropa Sahro,5,trimakasih kredivo sudah beri pinjaman buat modal jualan bantu ekomi kluarga,2025-07-30 14:17:13
Gumay Mahdi,5,dalam hitungan Detik...tak menunggu lama pinjaman Langsur cair ...terima kasih Manajemen Kredivo,2025-07-30 13:59:01
Ani Masrifah,5,Sangat membantu,2025-07-30 13:40:52
Azah Nurjaman,5,membantu,2025-07-30 13:31:48
Su Darno,4,trimakasih beberapa bulan ditolak sekarang sudah diAcc.. trimakasih,2025-07-30 13:28:47
Lana Abdullatif,5,👍🏻👍🏻,2025-07-30 13:26:16
Soe Nie,5,top,2025-07-30 13:19:56
Nina Hermaya,5,kredivo mantep siihhh. membantu banget dalam keadaan mendesak,2025-07-30 13:19:00
Ida Farida,5,"senang belanja di Indomaret pake kredivo,,lebih hemat",2025-07-30 13:14:42
Alfianus Tandiara,5,"sangat membantu dalam pengajuan pinjaman, mudah dan terpercaya",2025-07-30 13:06:37
Yadon Pah,5,saya bayar sblum jatuh tempo tpi ketika pengajuan ke 2 kok gak di setujui parah emang,2025-07-30 13:05:20
Ridwansyah ridwan,3,"Sangat kecewa,,,saya tidak pernah terlambat bayar, malah score saya turun ke B, sangat kecewa",2025-07-30 12:59:12
Zerro,5,nice,2025-07-30 12:54:56
Lisna Marpaung,5,👍,2025-07-30 12:54:20
Ṁ२ि٠❷❶ ❷❶,5,terbaik👍💯,2025-07-30 12:53:46
Yuana Putri,5,bisa membantu pas darurat,2025-07-30 12:45:33
sulistyowati 26,2,skrng kredivo jelek bgt ga kaya dulu,2025-07-30 12:44:52
Rio Diansyah,1,terhitung tgl 30 juli 2025 saya mengajukan pinjman tapi disuruh menunggu 3 bulan lg...awas jangan disalahgunakan data saya...saya akan laporkan ke polisi....saya tidak pernah meminjam di kredivo..... jadi saya tidak tau menau apabila data saya disalshgunakan,2025-07-30 12:39:38
Tatok Wuriatmadi,5,sangat membntu,2025-07-30 12:31:09
Khadirun _,5,kredivo mantap,2025-07-30 12:25:56
Ibrahim (Ahim),5,mantap.,2025-07-30 12:22:16
Didik Susanto,5,trimakasih kredivo semoga kedepan nya lebih baik,2025-07-30 12:15:10
Rengga chandra Gunawan,5,"mau akses login gak bisa min, pakai cara whattsap dan sms kode otp tidak terkirim",2025-07-30 12:14:30
Rull19 Official,5,mantap,2025-07-30 12:09:20
Lasma Napit,5,proses cepat dgn bunga terjangkau,2025-07-30 12:01:53
Tand Hombing,5,terimakasih sudah membantu..,2025-07-30 11:53:05
Rahmawatiwiwik,5,Proses cepat. Tidak bertele-tele. Bunga cicilan kecil.,2025-07-30 11:49:42
Ika Ika,5,begitu bisa utk blanja aku senang sekali,2025-07-30 11:45:18
diong fabiong,1,"wahhh........KREDIVO bunga pinjaman tunainya makin TINGGI. kemarin pinjaman 1jt tenor 6bulan bayarnya 209rb tapi kini........jadi 217rb KREDIVO jadi sama dengan aplikasi lainnya yang mengusung BUNGA TINGGI buat admin KREDIVO yg akan menjawab ulasan ini, mohon dibaca baikbaik biar paham hingga nanti jawabannya nyambung dengan ulasan ini",2025-07-30 11:38:59
ferdinan sibarani,5,good,2025-07-30 11:38:55
Ira Roziah,5,"lancarr jaya nyerenteng pollll ,langsung acc junior ini sedang butuh asupan D DUITTTTTT,hatur nuhun kredivo🤏🏻🥶",2025-07-30 11:18:25
Hasan Hamid,5,mantaaap,2025-07-30 11:15:04
Syahwa Graddy,5,"nice apps, all transaction were done in Seconds",2025-07-30 11:05:57
Hadi Adi,1,Parah 🤦🏽‍♂️,2025-07-30 11:02:36
Angel Pardede,5,bunga paling ringan,2025-07-30 10:52:01
Rina Agustina,5,mantab,2025-07-30 10:47:52
Kholily,5,bagus,2025-07-30 10:45:33
HANDOKO,3,dendaNya gilA... baru telat sehari duahari parah,2025-07-30 10:44:06
Erni Yusnita,5,sangat membantu,2025-07-30 10:33:37
iip tio,5,"mudah aman dan lancar amin sukses ,semoga bisa membantu",2025-07-30 10:30:09
Yusi Luckitasari,5,sangat membantu keuangan mendesak,2025-07-30 10:27:13
Obey Tristan,2,"kridivo skrng tidak kaya dulu, skrng susah transaksi, dan d batalkan terus padahal limit saldo bnyak tapi tidak bisa di pake, jadi kurang berminat pakai kredivo",2025-07-30 10:26:38
Irpan Irpan,5,puas bangeeeet,2025-07-30 10:12:00
Rivki Adita,5,terimakasih kerdivo,2025-07-30 10:06:57
Abdul Muis,5,bagus,2025-07-30 10:05:36
ridzkita,5,Banyakin lagi diskon nya yaa Vo terima kasihhhh😍🤩,2025-07-30 10:00:56
Jhon Siahay,5,helpfull,2025-07-30 09:48:32
RAMADANI,1,"hari tgl 30 Juli 2025, saya uninstall aplikasi kredivo. apabila ada oknum yang mengatasnamakan dan menggunakan data pribadi saya. saya tidak bertanggung jawab",2025-07-30 09:43:59
Eko Heri susanto,5,oke,2025-07-30 09:40:14
M. Anggi,5,aplikasi paylater & pinjaman paling bagus menurut saya,2025-07-30 09:35:20
Sanzkece123 45,5,mantap membantu saat saya ke pepet👍,2025-07-30 09:34:00
Nyimasrara Sumanding,5,"Mudah dan cepat proses pinjamannya,recomended banget...",2025-07-30 09:33:41
Rahmad Kurniawan,1,pinjaman asyik di tolak mulu padahal bayar tepat waktu dan baik juga... asal mau pinjaman di tolak status nya...,2025-07-30 09:33:26
Nursam,3,"pembayaran tidak pernah telat, dan lunas tepat waktu tpi pengajuan berikutnya fdi tolak",2025-07-30 09:32:22
Devan Muhammad,1,bagus,2025-07-30 09:29:57
Fauziku 45,5,bagus,2025-07-30 09:28:08
zeka zepista #74,5,🙏👍,2025-07-30 09:23:36
ABDUL ROHIM,5,good,2025-07-30 09:02:20
Augustyo Putra,1,jngan mau instal apk ini telat 1 hari saja biaya kompensasi telat 1 hari 200 Rp,2025-07-30 08:59:10
UKKI AHMAD,4,baik baik,2025-07-30 08:55:14
gnraands 007,5,kenapa Limit nya Gede tidak bisa buat belanja,2025-07-30 08:55:11
Kirania Chenel,5,membantu,2025-07-30 08:55:10
Er Ma,5,merasa puas dan terimakasih banyak,2025-07-30 08:54:27
Sugianto Duda,5,good,2025-07-30 08:46:08
Adi Salim,5,sangat puas,2025-07-30 08:36:50
Rismawati Risma,5,sangat membantu,2025-07-30 08:29:16
Helmi Jayusman,5,Aplikasi yang sangat bagus,2025-07-30 08:26:09
Warkop Lailaa,5,bagus..sistem TDK berbelit..pemberian Kredit cepat,2025-07-30 08:25:20
Johan Berliando,5,sangat membantu,2025-07-30 08:19:16
Chool Squad,5,memberi lowongan dengan kasih 100rb limit,2025-07-30 08:14:33
Dimas Roja,5,kredivo semakin mantap dan sukses,2025-07-30 08:12:46
M Anwar,5,top markotop,2025-07-30 08:09:36
edy intipesan,5,semoga menjadi berkah barokah ya kak,2025-07-30 08:08:20
Rachmat Fajri,4,"untuk limit memang naik, tapi untuk potongan biaya admin tolonglah itu masih terlalu besar, di potong di awal pula. tapi untuk lain'a software dan kecepatan aplikasi sdh bagus, tolong di jaga klo bisa terus tingkatkan.",2025-07-30 08:07:14
Aldiansyah,5,"aplikasi ini sangat rekomended untuk di gunakan, bunga yang dikasih tergolong kecil,terutama untuk pinjaman tunai hanya butuh waktu kurang lebih 10 detik menunggu dana langsung cair tidak bertele-tele seperti aplikasi yang lain yg harus menunggu lama ..",2025-07-30 08:05:32
Wardani Sugiarto,5,is the best👍👍👍👍👍,2025-07-30 08:00:04
Rieky p,1,udh ga bs di pake😑,2025-07-30 07:44:14
Sulaiman Yusuf,5,good joob,2025-07-30 07:29:06
Andi Fatukaloba,5,"kren, mudah dan harus ikut aturan..",2025-07-30 07:25:35
Andre Admaja,4,bagus bisa membantu,2025-07-30 07:23:54
Sumi Joy,5,sangat membantu..semoga bunganya dturunkan lagi...trims kredivo,2025-07-30 07:20:24
Rika Nmn,5,limit ga naek2🤦 padahal sering digunakan,2025-07-30 07:17:05
Rudy Hartono,5,"udh berapa x daftar gagal mulu pas kmrn coba2 ehh di approve lngsng pake, akhirnya bisa juga kredivo mantapp",2025-07-30 06:57:28
MyVanHowtans Smart,5,"Membantu sih, tp ketika mendekati tempo sibuk kali nelponin terus. selagi belom di angkat bisa2 setiap 5 menit nelponin terus..",2025-07-30 06:54:50
Keith Ez,5,Pinjaman mudah tidak ribet dan bunga sangat kecil..sangat membantu.. Jangan sampai telat bayar biar limit bertambah..✌️,2025-07-30 06:48:03
Edin Jaedin,5,sangat membantu sekali,2025-07-30 06:43:07
Azmi Izel,1,tidak bisa pinjem lagi,2025-07-30 06:20:21
Abdul Latif,5,bagus,2025-07-30 06:16:54
Ida Rgg,5,agar memberikan informasi tgl jatuh tempo 1mgg sebelomnya,2025-07-30 06:14:02
Muhammad Sonudin,5,ok,2025-07-30 05:47:27
Moch Saifudin Zuhri,1,KREDIVO.... gmna nih... setelah di update kok malah ga bisa masuk.... loading terus.....????? kan jadi bingung klo mw bayar padahal sudah saya hapus apk dan instal baru lagi. biasanya langsung sat set.... ni sudah 3 x instal kok tetep loading terus. padahal sinyal oke. klo ada keterlambatan pembayaran gmna hayo??!!!!,2025-07-30 05:47:11
S h s Saja,1,cuman iming iming doang,2025-07-30 05:47:04
M.Fathan Alfarizi,5,membantu,2025-07-30 05:45:49
Hapid Anshor,5,pinjaman gampang,2025-07-30 05:32:53
Imam Saepuloh,1,selalu ditolak,2025-07-30 05:32:32
